DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,10300,ABC,10500,10500,10200,14900000
11/6/2020,10400,ABC,10400,10400,10400,7600000
10/6/2020,10400,ABC,10400,10400,10400,1050000
9/6/2020,10300,ABC,10300,10800,10300,30500000
8/6/2020,10400,ABC,10300,10400,10300,5426000
5/6/2020,10200,ABC,10200,10200,10200,11770000
4/6/2020,10200,ABC,10200,10500,10200,22720000
3/6/2020,10200,ABC,10400,10400,10200,7515000
2/6/2020,10100,ABC,10200,10200,10100,1309000
1/6/2020,10200,ABC,10100,10500,10100,2020000
29/05/2020,10100,ABC,10200,10200,10100,7015000
28/05/2020,10400,ABC,10200,10400,10100,4510000
27/05/2020,10300,ABC,10000,10300,10000,2310000
26/05/2020,10200,ABC,10500,10500,10200,6600000
25/05/2020,10200,ABC,10200,10500,10200,1030000
22/05/2020,10300,ABC,10200,10300,10100,6000000
21/05/2020,10300,ABC,10300,10300,10300,810000
20/05/2020,10300,ABC,10300,10500,10300,4600000
19/05/2020,10300,ABC,10500,10500,10300,1248000
18/05/2020,10000,ABC,10500,10500,10000,4750000
15/05/2020,10500,ABC,10300,10500,9900,17000000
14/05/2020,10500,ABC,10500,10500,9600,4215000
13/05/2020,10500,ABC,10500,10500,10500,6900000
12/5/2020,10500,ABC,9900,10900,9900,52380000
11/5/2020,9700,ABC,9900,9900,9600,3620000
8/5/2020,9500,ABC,9400,9500,9300,6300000
7/5/2020,9500,ABC,9600,9600,9400,15100000
6/5/2020,9600,ABC,9600,9600,9600,9400000
5/5/2020,9700,ABC,9600,9700,9600,4800000
4/5/2020,9700,ABC,9800,9800,9500,8810000
29/04/2020,9600,ABC,9600,9600,9600,400000
28/04/2020,9700,ABC,9700,9700,9600,17700000
27/04/2020,9600,ABC,9700,9700,9500,7000000
24/04/2020,9700,ABC,9700,9700,9700,1450000
23/04/2020,9700,ABC,9700,9700,9600,3800000
22/04/2020,9600,ABC,9600,9700,9600,16810000
21/04/2020,9500,ABC,9500,9700,9400,34000000
20/04/2020,9400,ABC,9100,9500,9100,11900000
17/04/2020,9400,ABC,9500,9600,9400,3800000
16/04/2020,9300,ABC,9100,9300,9100,300000
15/04/2020,9100,ABC,9100,9100,9100,5500000
14/04/2020,9400,ABC,9300,9400,9300,3300000
13/04/2020,9300,ABC,9300,9300,9300,3100000
10/4/2020,9500,ABC,9100,9500,9100,3300000
9/4/2020,9500,ABC,8900,9500,8800,16000000
8/4/2020,8900,ABC,8600,8900,8600,10105000
7/4/2020,8800,ABC,8800,8800,8600,35300000
6/4/2020,8800,ABC,8300,8800,8300,8310000
3/4/2020,9000,ABC,8100,9000,8100,3100000
1/4/2020,8200,ABC,8000,8200,7900,5500000
31/03/2020,7900,ABC,8200,8200,7900,4000000
30/03/2020,8100,ABC,8400,8400,8000,7310000
27/03/2020,8500,ABC,8300,8600,8300,2100000
26/03/2020,8600,ABC,8600,8600,8600,600000
25/03/2020,8700,ABC,8700,8700,7800,5400000
24/03/2020,8600,ABC,8600,8600,8600,200000
23/03/2020,8100,ABC,8800,8800,8100,12510000
20/03/2020,8800,ABC,8800,8800,8800,12705000
19/03/2020,8800,ABC,8800,8800,8800,7400000
18/03/2020,8900,ABC,8700,8900,8600,11800000
17/03/2020,8500,ABC,8900,8900,8500,25505000
16/03/2020,8800,ABC,8800,8800,8800,500000
13/03/2020,8800,ABC,8800,8800,8600,13400000
12/3/2020,8800,ABC,9000,9000,8700,26905000
11/3/2020,8900,ABC,9100,9100,8900,12100000
10/3/2020,9200,ABC,9000,9200,9000,2750000
9/3/2020,9000,ABC,9400,9400,9000,35800000
6/3/2020,9600,ABC,9300,9600,8500,18100000
5/3/2020,9600,ABC,9500,9700,9500,7909000
4/3/2020,9500,ABC,9400,9500,9300,14000000
3/3/2020,9400,ABC,9400,9400,9400,3500000
2/3/2020,9400,ABC,9400,9400,9400,1000000
