DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,42.5,BID,39.5,42.5,39.5,1913590
11/6/2020,40.5,BID,43.5,43.7,40.5,2386670
10/6/2020,43.5,BID,43.1,44.1,42.5,1297400
9/6/2020,43.35,BID,44.1,44.1,43.3,1119590
8/6/2020,44,BID,42.7,44,42.5,2487930
5/6/2020,42.1,BID,41.8,42.2,41.25,1216160
4/6/2020,41.8,BID,41.2,42.3,41.1,2013380
3/6/2020,41,BID,40.9,41.2,40.5,896130
2/6/2020,40.55,BID,41.5,41.9,40.5,1496600
1/6/2020,41.45,BID,40.3,41.55,40.25,1104330
29/05/2020,40.1,BID,40.4,40.5,39.8,1669730
28/05/2020,40.7,BID,40,40.95,39.8,1913890
27/05/2020,39.8,BID,42.75,42.75,39.8,2293240
26/05/2020,42,BID,39.75,42,39.75,2954120
25/05/2020,39.65,BID,39.3,39.8,39,888300
22/05/2020,39.3,BID,39.7,40,39.3,1140830
21/05/2020,39.7,BID,39.5,40.15,39.45,2474770
20/05/2020,39.15,BID,39,39.3,38.5,900670
19/05/2020,39.1,BID,39.9,39.9,38.9,1686240
18/05/2020,38.9,BID,38.45,38.9,38,1864370
15/05/2020,38.6,BID,39.8,40.1,38.4,1909780
14/05/2020,39.7,BID,39,40.5,39,1994890
13/05/2020,39.6,BID,38.3,39.8,37.8,2725900
12/5/2020,38.55,BID,38.3,38.65,37.95,1645960
11/5/2020,38.5,BID,38.5,39,37.95,1209730
8/5/2020,38,BID,37.95,39.3,37.55,2563570
7/5/2020,37.55,BID,36.3,37.6,36.3,2524450
6/5/2020,36,BID,35.45,36,35.3,739320
5/5/2020,35.3,BID,35.3,35.8,35.2,427650
4/5/2020,35.3,BID,35.6,36.4,35.1,655630
29/04/2020,35.6,BID,35,35.9,35,595490
28/04/2020,35.15,BID,35.1,35.8,34.5,589490
27/04/2020,35.1,BID,36.2,36.4,35.1,1205680
24/04/2020,36,BID,36.45,36.45,35.3,592910
23/04/2020,36.2,BID,37,37.2,36.1,789930
22/04/2020,36.2,BID,33.1,37.05,33.1,1413800
21/04/2020,34.7,BID,36,36.8,34.7,2238980
20/04/2020,37.1,BID,37.9,38,36.95,1371830
17/04/2020,37.4,BID,37.85,38.2,37.2,1151710
16/04/2020,37.3,BID,37.2,37.3,36.75,1210270
15/04/2020,37.3,BID,36.7,37.7,36.7,1107070
14/04/2020,36.5,BID,37.05,37.55,35.8,1220360
13/04/2020,37.15,BID,36.7,37.7,36.6,1056950
