DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,42500,BID,39500,42500,39500,1913590
11/6/2020,40500,BID,43500,43700,40500,2386670
10/6/2020,43500,BID,43100,44100,42500,1297400
9/6/2020,43350,BID,44100,44100,43300,1119590
8/6/2020,44000,BID,42700,44000,42500,2487930
5/6/2020,42100,BID,41800,42200,41250,1216160
4/6/2020,41800,BID,41200,42300,41100,2013380
3/6/2020,41000,BID,40900,41200,40500,896130
2/6/2020,40550,BID,41500,41900,40500,1496600
1/6/2020,41450,BID,40300,41550,40250,1104330
29/05/2020,40100,BID,40400,40500,39800,1669730
28/05/2020,40700,BID,40000,40950,39800,1913890
27/05/2020,39800,BID,42750,42750,39800,2293240
26/05/2020,42000,BID,39750,42000,39750,2954120
25/05/2020,39650,BID,39300,39800,39000,888300
22/05/2020,39300,BID,39700,40000,39300,1140830
21/05/2020,39700,BID,39500,40150,39450,2474770
20/05/2020,39150,BID,39000,39300,38500,900670
19/05/2020,39100,BID,39900,39900,38900,1686240
18/05/2020,38900,BID,38450,38900,38000,1864370
15/05/2020,38600,BID,39800,40100,38400,1909780
14/05/2020,39700,BID,39000,40500,39000,1994890
13/05/2020,39600,BID,38300,39800,37800,2725900
12/5/2020,38550,BID,38300,38650,37950,1645960
11/5/2020,38500,BID,38500,39000,37950,1209730
8/5/2020,38000,BID,37950,39300,37550,2563570
7/5/2020,37550,BID,36300,37600,36300,2524450
6/5/2020,36000,BID,35450,36000,35300,739320
5/5/2020,35300,BID,35300,35800,35200,427650
4/5/2020,35300,BID,35600,36400,35100,655630
29/04/2020,35600,BID,35000,35900,35000,595490
28/04/2020,35150,BID,35100,35800,34500,589490
27/04/2020,35100,BID,36200,36400,35100,1205680
24/04/2020,36000,BID,36450,36450,35300,592910
23/04/2020,36200,BID,37000,37200,36100,789930
22/04/2020,36200,BID,33100,37050,33100,1413800
21/04/2020,34700,BID,36000,36800,34700,2238980
20/04/2020,37100,BID,37900,38000,36950,1371830
17/04/2020,37400,BID,37850,38200,37200,1151710
16/04/2020,37300,BID,37200,37300,36750,1210270
15/04/2020,37300,BID,36700,37700,36700,1107070
14/04/2020,36500,BID,37050,37550,35800,1220360
13/04/2020,37150,BID,36700,37700,36600,1056950
10/4/2020,36900,BID,37300,37800,36700,1198580
9/4/2020,37700,BID,37950,38600,37650,1349000
8/4/2020,37950,BID,35800,38000,35100,1456160
7/4/2020,37000,BID,37500,37700,36000,1793050
6/4/2020,36700,BID,35700,36700,35100,1881640
3/4/2020,34300,BID,32600,34300,32600,1547020
1/4/2020,32100,BID,30900,33000,30800,1190960
31/03/2020,30850,BID,32000,32150,29500,1018770
30/03/2020,30900,BID,31000,31900,30700,1369430
27/03/2020,33000,BID,33100,33750,32400,1128210
26/03/2020,33300,BID,33000,34200,32150,1148580
25/03/2020,33200,BID,33400,33450,32800,1611980
24/03/2020,31600,BID,31000,31950,30700,1227020
23/03/2020,30800,BID,31000,31900,30800,2728710
20/03/2020,33100,BID,33600,34050,32900,771320
19/03/2020,33400,BID,33950,34200,32750,906470
18/03/2020,34550,BID,34000,35500,33950,1743970
