DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,23.3,CTG,22.1,23.3,22.1,7094300
11/6/2020,22.95,CTG,24.7,24.8,22.95,9257760
10/6/2020,24.65,CTG,24.2,25,24.1,8248360
9/6/2020,24.2,CTG,25,25,24.2,6702380
8/6/2020,24.9,CTG,24.85,25.2,24.6,7059480
5/6/2020,24.45,CTG,24.5,24.7,24.2,5424300
4/6/2020,24.65,CTG,24.2,24.9,24.1,8945730
3/6/2020,24,CTG,23.6,24.05,23.55,6901900
2/6/2020,23.45,CTG,23.8,24.3,23.4,9588410
1/6/2020,23.5,CTG,22.8,23.5,22.7,7120400
29/05/2020,22.5,CTG,22.45,22.7,22.45,3561630
28/05/2020,22.55,CTG,22.55,22.95,22.35,5936110
27/05/2020,22.4,CTG,23.3,23.45,22.4,8420990
26/05/2020,23.15,CTG,23.05,23.3,22.85,6282980
25/05/2020,23.05,CTG,22.9,23.35,22.7,6731270
22/05/2020,22.8,CTG,22.8,23.6,22.65,7637850
21/05/2020,22.95,CTG,22.35,23.25,22.3,10616250
20/05/2020,22.3,CTG,22,22.3,21.9,5342980
19/05/2020,22.3,CTG,22,22.45,21.8,11023040
18/05/2020,21.35,CTG,20.95,21.35,20.7,5204650
15/05/2020,20.9,CTG,21.55,21.6,20.85,7303040
14/05/2020,21.35,CTG,21.4,21.75,21.35,5828440
13/05/2020,21.65,CTG,21.4,21.95,21.15,6959000
12/5/2020,21.65,CTG,21.15,21.8,20.85,6576780
11/5/2020,21.25,CTG,21.45,21.55,20.9,7654090
8/5/2020,20.9,CTG,20.7,21.65,20.6,12666220
7/5/2020,20.4,CTG,20.2,20.65,20.1,7523830
6/5/2020,20.2,CTG,19.95,20.3,19.55,6890670
5/5/2020,19.85,CTG,20.05,20.15,19.65,2976380
4/5/2020,20.05,CTG,19.75,20.45,19.55,7526760
29/04/2020,20,CTG,19.3,20,19.1,9337270
28/04/2020,19.05,CTG,18.85,19.3,18.7,3942840
27/04/2020,18.85,CTG,19.4,19.4,18.85,4305890
24/04/2020,19.2,CTG,19.2,19.3,19,2871100
23/04/2020,19.2,CTG,19.5,19.7,19.2,2950110
22/04/2020,19.25,CTG,18.4,19.7,18.4,6363800
21/04/2020,18.8,CTG,19.65,19.75,18.75,9299890
20/04/2020,19.85,CTG,20.3,20.45,19.85,6291720
17/04/2020,20.1,CTG,20.5,20.5,20,8578720
16/04/2020,19.8,CTG,19.6,19.9,19.4,3710320
15/04/2020,19.85,CTG,19.2,19.95,19.2,6758040
14/04/2020,19.2,CTG,19.55,19.75,18.8,7389910
13/04/2020,19.6,CTG,19.4,20,19.25,4183300
10/4/2020,19.45,CTG,19.8,20.1,19.3,5700980
9/4/2020,19.8,CTG,20,20.35,19.8,7265280
8/4/2020,19.7,CTG,19.3,20,19.1,4637260
7/4/2020,19.85,CTG,20.2,20.25,19.6,7256090
6/4/2020,20.1,CTG,19.3,20.1,19,10557010
3/4/2020,18.8,CTG,18.6,19,18.5,4625590
1/4/2020,18.3,CTG,17,18.35,17,5514550
31/03/2020,17.2,CTG,18,18.5,16.6,6102570
30/03/2020,17.7,CTG,17.85,18,17.7,7331160
27/03/2020,19,CTG,19.05,19.1,18.7,6261510
26/03/2020,18.8,CTG,19.05,19.6,18.8,5121770
25/03/2020,19.55,CTG,19,19.55,18.8,7041040
24/03/2020,18.3,CTG,18.45,18.7,17.65,6361270
23/03/2020,18.45,CTG,18.8,19,18.45,6448830
20/03/2020,19.8,CTG,20.4,20.5,19.65,6426820
19/03/2020,20.1,CTG,20.5,20.6,19.85,4724410
18/03/2020,20.95,CTG,21.3,21.55,20.95,6424470
17/03/2020,21,CTG,20,21.2,19.4,7946050
16/03/2020,20.5,CTG,21.95,22.05,20.5,7506240
13/03/2020,21.95,CTG,20.5,22.4,20.3,10540670
12/3/2020,21.8,CTG,22,22.4,21.6,11314020
11/3/2020,23.2,CTG,24.8,25,22.85,8522410
10/3/2020,24.5,CTG,24,25.05,23.15,11071330
9/3/2020,24,CTG,24.1,24.7,24,10773760
6/3/2020,25.8,CTG,25.8,26.05,25.45,5353340
5/3/2020,26.15,CTG,26.8,26.85,26.15,5997630
4/3/2020,26.45,CTG,26.3,26.45,26,4587660
3/3/2020,26.45,CTG,26.2,26.95,25.95,9514110
2/3/2020,25.5,CTG,25.95,26.05,25.4,4873970
28/02/2020,25.75,CTG,25.5,26.05,25,7892390
27/02/2020,26.2,CTG,25.75,26.2,25.6,5524580
26/02/2020,25.8,CTG,25.55,26.2,25.4,6229210
25/02/2020,26.1,CTG,24.4,26.1,24.35,9764100
24/02/2020,24.4,CTG,25.1,25.4,24.35,12317180
21/02/2020,25.85,CTG,26.8,26.9,25.65,12049570
20/02/2020,26.9,CTG,27.35,27.7,26.65,9011120
19/02/2020,27,CTG,26.8,27.2,26.8,5895360
18/02/2020,26.7,CTG,26.7,27.25,26.6,7231540
17/02/2020,26.55,CTG,26.9,27.05,26.4,5818090
14/02/2020,26.8,CTG,27.35,27.35,26.7,6108570
13/02/2020,27.25,CTG,27.35,27.6,26.5,9485770
12/2/2020,27.2,CTG,28.45,28.45,27.2,10390830
11/2/2020,27.75,CTG,26.9,27.75,26.85,6762320
10/2/2020,26.6,CTG,26.25,27.3,26.2,6287560
7/2/2020,26.9,CTG,27.5,27.65,26.65,8960350
6/2/2020,27.75,CTG,26.7,28.1,26.35,10566600
5/2/2020,26.55,CTG,27.4,27.8,26.55,11732260
4/2/2020,26.9,CTG,25.4,26.9,25.35,14852770
3/2/2020,25.15,CTG,23.5,25.2,23.25,13869450
31/01/2020,24.4,CTG,24.6,25.25,24.4,11815850
30/01/2020,24.35,CTG,24.9,25.35,24,11319200
22/01/2020,25.6,CTG,25.3,25.75,25.05,4747210
21/01/2020,25.3,CTG,25.2,25.8,25.1,6063350
20/01/2020,25.1,CTG,24.9,25.3,24.75,4737420
17/01/2020,24.95,CTG,25.2,25.4,24.6,6412750
16/01/2020,24.9,CTG,23.7,24.95,23.65,8002680
15/01/2020,23.6,CTG,23.5,23.7,23.25,4364850
14/01/2020,23.5,CTG,23.25,23.8,23.2,7040780
13/01/2020,23.2,CTG,23.3,24,23.2,5317470
10/1/2020,23.55,CTG,22.5,24,22.5,14701830
9/1/2020,22.45,CTG,21.85,22.6,21.85,8592300
8/1/2020,21.65,CTG,21.55,22.15,21.3,9864300
7/1/2020,21.7,CTG,21.6,21.85,21.45,4163600
6/1/2020,21.35,CTG,21.2,21.7,21.1,3173480
3/1/2020,21.3,CTG,21.75,21.85,21.25,3626640
2/1/2020,21.5,CTG,20.9,21.75,20.85,4347610
31/12/2019,20.9,CTG,21.15,21.2,20.85,1742690
30/12/2019,21.05,CTG,20.7,21.1,20.65,4624920
27/12/2019,20.65,CTG,20.65,20.65,20.35,1589060
26/12/2019,20.6,CTG,20.6,20.7,20.45,2075490
25/12/2019,20.6,CTG,20.5,20.8,20.5,1381280
24/12/2019,20.6,CTG,20.65,20.65,20.4,1254620
23/12/2019,20.55,CTG,20.4,20.8,20.4,3308670
20/12/2019,20.35,CTG,20.15,20.45,20.1,1068060
19/12/2019,20.15,CTG,20.15,20.3,20,1339070
18/12/2019,20.15,CTG,20.2,20.4,20.15,1746820
17/12/2019,20.25,CTG,20.35,20.55,20.25,1689580
16/12/2019,20.3,CTG,20.6,20.6,20.3,1437460
13/12/2019,20.6,CTG,20.25,20.7,20.25,3962760
12/12/2019,20.15,CTG,19.9,20.25,19.9,1909480
11/12/2019,19.85,CTG,20.05,20.15,19.7,2570270
10/12/2019,20.05,CTG,20.2,20.2,19.95,2293020
9/12/2019,20.15,CTG,20.2,20.35,20.15,2198400
6/12/2019,20.3,CTG,20.05,20.35,20.05,1845310
5/12/2019,20.1,CTG,20.5,20.5,20.1,1382950
4/12/2019,20.45,CTG,19.7,20.5,19.55,3727730
3/12/2019,19.6,CTG,19.5,20,19.5,3746930
2/12/2019,19.8,CTG,20.4,20.45,19.8,3939590
29/11/2019,20.45,CTG,20.45,20.55,20.25,3157760
28/11/2019,20.45,CTG,21.05,21.05,20.45,3637750
27/11/2019,21.05,CTG,21.2,21.3,21.05,1670250
26/11/2019,21.2,CTG,21.25,21.25,21.05,2125800
25/11/2019,21.15,CTG,21.2,21.2,20.9,2228300
