DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,23300,CTG,22100,23300,22100,7094300
11/6/2020,22950,CTG,24700,24800,22950,9257760
10/6/2020,24650,CTG,24200,25000,24100,8248360
9/6/2020,24200,CTG,25000,25000,24200,6702380
8/6/2020,24900,CTG,24850,25200,24600,7059480
5/6/2020,24450,CTG,24500,24700,24200,5424300
4/6/2020,24650,CTG,24200,24900,24100,8945730
3/6/2020,24000,CTG,23600,24050,23550,6901900
2/6/2020,23450,CTG,23800,24300,23400,9588410
1/6/2020,23500,CTG,22800,23500,22700,7120400
29/05/2020,22500,CTG,22450,22700,22450,3561630
28/05/2020,22550,CTG,22550,22950,22350,5936110
27/05/2020,22400,CTG,23300,23450,22400,8420990
26/05/2020,23150,CTG,23050,23300,22850,6282980
25/05/2020,23050,CTG,22900,23350,22700,6731270
22/05/2020,22800,CTG,22800,23600,22650,7637850
21/05/2020,22950,CTG,22350,23250,22300,10616250
20/05/2020,22300,CTG,22000,22300,21900,5342980
19/05/2020,22300,CTG,22000,22450,21800,11023040
18/05/2020,21350,CTG,20950,21350,20700,5204650
15/05/2020,20900,CTG,21550,21600,20850,7303040
14/05/2020,21350,CTG,21400,21750,21350,5828440
13/05/2020,21650,CTG,21400,21950,21150,6959000
12/5/2020,21650,CTG,21150,21800,20850,6576780
11/5/2020,21250,CTG,21450,21550,20900,7654090
8/5/2020,20900,CTG,20700,21650,20600,12666220
7/5/2020,20400,CTG,20200,20650,20100,7523830
6/5/2020,20200,CTG,19950,20300,19550,6890670
5/5/2020,19850,CTG,20050,20150,19650,2976380
4/5/2020,20050,CTG,19750,20450,19550,7526760
29/04/2020,20000,CTG,19300,20000,19100,9337270
28/04/2020,19050,CTG,18850,19300,18700,3942840
27/04/2020,18850,CTG,19400,19400,18850,4305890
24/04/2020,19200,CTG,19200,19300,19000,2871100
23/04/2020,19200,CTG,19500,19700,19200,2950110
22/04/2020,19250,CTG,18400,19700,18400,6363800
21/04/2020,18800,CTG,19650,19750,18750,9299890
20/04/2020,19850,CTG,20300,20450,19850,6291720
17/04/2020,20100,CTG,20500,20500,20000,8578720
16/04/2020,19800,CTG,19600,19900,19400,3710320
15/04/2020,19850,CTG,19200,19950,19200,6758040
14/04/2020,19200,CTG,19550,19750,18800,7389910
