DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,14300,DAE,14300,14300,14300,300
11/6/2020,14100,DAE,14100,14100,14100,2000
10/6/2020,14200,DAE,14200,14200,14200,0
9/6/2020,14200,DAE,14200,14200,14200,2000
8/6/2020,14000,DAE,14000,14000,14000,200
5/6/2020,14000,DAE,14100,14100,14000,4310
4/6/2020,14500,DAE,14500,14500,14500,0
3/6/2020,14500,DAE,14500,14500,14500,100
2/6/2020,14300,DAE,14300,14300,14300,200
1/6/2020,14200,DAE,14300,14300,14100,5100
29/05/2020,14100,DAE,14200,14200,14100,2600
28/05/2020,14200,DAE,14200,14200,14200,1000
27/05/2020,14200,DAE,14400,14400,14200,1100
26/05/2020,14200,DAE,14400,14400,14200,600
25/05/2020,14200,DAE,14200,14200,14200,100
22/05/2020,14000,DAE,14000,14000,14000,0
21/05/2020,14000,DAE,14000,14000,14000,500
20/05/2020,14400,DAE,14000,14400,14000,700
19/05/2020,14600,DAE,14600,14600,14600,0
18/05/2020,14600,DAE,14600,14600,14600,0
15/05/2020,14600,DAE,14600,14600,14600,300
14/05/2020,14700,DAE,14700,14700,14700,100
13/05/2020,14200,DAE,14000,14200,14000,600
12/5/2020,14000,DAE,14000,14000,14000,0
11/5/2020,14000,DAE,14000,14000,14000,1100
8/5/2020,14000,DAE,14000,14000,14000,500
7/5/2020,14000,DAE,14200,14200,14000,600
6/5/2020,14200,DAE,13900,14200,13800,600
5/5/2020,13900,DAE,13900,13900,13900,100
4/5/2020,13900,DAE,13900,13900,13900,0
29/04/2020,13900,DAE,13900,13900,13900,100
28/04/2020,14000,DAE,14000,14000,14000,1500
27/04/2020,14000,DAE,14000,14000,14000,100
24/04/2020,14000,DAE,14000,14000,14000,0
23/04/2020,14000,DAE,14100,14100,14000,1100
22/04/2020,13600,DAE,13600,13600,13600,0
21/04/2020,13600,DAE,14000,14000,13600,8200
20/04/2020,14800,DAE,14800,14800,14800,0
17/04/2020,14800,DAE,13500,14800,13500,300
16/04/2020,13900,DAE,13900,13900,13900,1000
15/04/2020,14000,DAE,13800,14000,13800,4600
