DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,44550,DBC,44550,44550,44550,116200
11/6/2020,47850,DBC,47850,47850,47850,495360
10/6/2020,51400,DBC,52600,53900,51400,2812120
9/6/2020,55200,DBC,57000,57100,53900,4131850
8/6/2020,56600,DBC,55000,57500,55000,4259260
5/6/2020,54000,DBC,51400,54800,49800,3877350
4/6/2020,51300,DBC,50000,51300,48700,3661140
3/6/2020,48000,DBC,45000,48000,44800,3450550
2/6/2020,44900,DBC,45700,46700,42000,6386640
1/6/2020,44150,DBC,42000,44150,41900,3623330
29/05/2020,41300,DBC,40000,41700,39800,2988050
28/05/2020,39050,DBC,37500,39050,36600,4421370
27/05/2020,36500,DBC,38200,38500,36500,4339020
26/05/2020,37900,DBC,38750,38850,37600,3328780
25/05/2020,37200,DBC,35650,37200,35300,2556530
22/05/2020,34800,DBC,34400,35250,34300,2918830
21/05/2020,34400,DBC,32600,34550,32200,6705990
20/05/2020,32300,DBC,32250,33100,32250,2076020
19/05/2020,32800,DBC,33800,34000,32500,2437320
18/05/2020,32150,DBC,30300,32150,30050,2423380
15/05/2020,30050,DBC,32000,32100,30000,3834940
14/05/2020,31750,DBC,31650,33000,31500,2957120
13/05/2020,32100,DBC,31400,33300,30800,2884740
12/5/2020,31400,DBC,30850,32150,30600,2853920
11/5/2020,30050,DBC,28850,30050,28400,3798540
8/5/2020,28100,DBC,28000,29450,27950,5053760
7/5/2020,27800,DBC,27800,28300,27400,1412400
6/5/2020,27600,DBC,27450,28450,27200,2706020
5/5/2020,27250,DBC,26300,27500,26300,1777480
4/5/2020,26500,DBC,27200,27850,26200,2513680
29/04/2020,27700,DBC,28600,28950,27450,2439410
28/04/2020,28350,DBC,28000,28350,27200,6067880
27/04/2020,26500,DBC,25100,26500,24800,5219290
24/04/2020,24800,DBC,24900,25450,24200,1663290
23/04/2020,25000,DBC,26800,27200,24600,2939110
22/04/2020,25900,DBC,23200,25900,23050,4871430
