DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,47000,FPT,45000,47000,45000,3145450
11/6/2020,46000,FPT,48800,48800,46000,4278060
10/6/2020,48800,FPT,49000,49000,48400,1307540
9/6/2020,48950,FPT,49600,49650,48900,1491540
8/6/2020,49350,FPT,49000,50000,49000,4113250
5/6/2020,48700,FPT,48400,48700,48150,1236200
4/6/2020,48400,FPT,48900,48900,48400,1260060
3/6/2020,48650,FPT,48000,48950,47900,1893060
2/6/2020,48000,FPT,48300,48500,48000,1456730
1/6/2020,48300,FPT,48000,48350,48000,1298150
29/05/2020,47950,FPT,48000,48100,47500,1346170
28/05/2020,48000,FPT,48200,48600,48000,1194380
27/05/2020,48000,FPT,48900,49400,48000,2098580
26/05/2020,48800,FPT,48500,48800,48350,1615680
25/05/2020,48450,FPT,48500,48600,47800,2033000
22/05/2020,48450,FPT,49000,49000,48450,1731720
21/05/2020,49300,FPT,48900,49300,48850,2007060
20/05/2020,48900,FPT,49000,49000,48550,1245380
19/05/2020,49250,FPT,49200,49700,48600,2879030
18/05/2020,48350,FPT,47500,48350,47400,2000950
15/05/2020,48000,FPT,48300,48900,47750,2430890
14/05/2020,48700,FPT,48950,49100,48500,2597400
13/05/2020,49350,FPT,47500,49550,47400,6853810
12/5/2020,54400,FPT,54000,54400,53600,2828190
11/5/2020,54000,FPT,54000,54400,53300,2119430
8/5/2020,53700,FPT,53600,55100,53600,3585320
7/5/2020,53500,FPT,53000,53500,52400,2030720
6/5/2020,52900,FPT,51000,53100,51000,3470150
5/5/2020,50900,FPT,50800,51000,50400,677990
4/5/2020,50500,FPT,50200,50900,49800,895530
29/04/2020,50800,FPT,50800,51400,50500,1349230
28/04/2020,50700,FPT,50700,50800,50200,974310
27/04/2020,50700,FPT,51500,51500,50500,1419750
24/04/2020,51000,FPT,50900,51200,50100,1411380
23/04/2020,51000,FPT,52100,52200,51000,1363410
22/04/2020,51100,FPT,48800,51200,48700,2445860
21/04/2020,49300,FPT,50500,50900,48900,3737050
20/04/2020,51300,FPT,51900,52000,50700,2239780
17/04/2020,51200,FPT,51200,51300,50200,2631630
16/04/2020,50300,FPT,49700,50800,49300,1508480
15/04/2020,50100,FPT,50500,50800,49850,2205200
14/04/2020,49500,FPT,47600,49500,47000,4072050
13/04/2020,46500,FPT,46400,47000,46100,1255360
10/4/2020,46400,FPT,46600,47000,45900,1882020
9/4/2020,46850,FPT,47000,47600,46500,2142370
8/4/2020,46850,FPT,46100,47050,45750,1576670
7/4/2020,47300,FPT,47500,47700,46500,2463810
6/4/2020,47500,FPT,46000,47500,45500,2718990
3/4/2020,44600,FPT,43000,44650,42700,2072000
1/4/2020,42300,FPT,40800,43200,40800,1453030
31/03/2020,41100,FPT,41500,42400,40100,1663050
30/03/2020,40400,FPT,40500,41100,40100,2157690
27/03/2020,43100,FPT,44400,44400,42900,2633750
26/03/2020,44200,FPT,45500,45850,44200,2358310
25/03/2020,46000,FPT,46000,46400,45150,2131790
24/03/2020,44500,FPT,45000,45000,43500,2191500
23/03/2020,44400,FPT,46100,46900,44400,2826690
20/03/2020,47700,FPT,48200,48250,47350,1291360
19/03/2020,47700,FPT,47600,48100,47600,1296590
18/03/2020,48400,FPT,49000,49100,48350,1642800
17/03/2020,48500,FPT,47000,48500,46500,2474650
16/03/2020,47600,FPT,48150,49700,47500,1898960
13/03/2020,48150,FPT,45300,50000,45200,2919140
12/3/2020,48100,FPT,48600,49300,47300,3981670
11/3/2020,50800,FPT,52000,52500,49500,2753310
