DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,5200,HAG,5030,5360,5030,11657830
11/6/2020,5400,HAG,5850,5850,5400,11594420
10/6/2020,5800,HAG,5540,6000,5460,12233960
9/6/2020,5650,HAG,5730,5820,5500,12715070
8/6/2020,5750,HAG,5500,5760,5480,11774510
5/6/2020,5420,HAG,5100,5420,4980,9676400
4/6/2020,5080,HAG,4750,5080,4730,11393350
3/6/2020,4750,HAG,4800,5000,4650,7849210
2/6/2020,4800,HAG,5210,5210,4800,18993150
1/6/2020,4870,HAG,4790,4870,4660,3520900
29/05/2020,4560,HAG,4260,4560,4230,8186470
28/05/2020,4270,HAG,4170,4270,4170,4346920
27/05/2020,4170,HAG,4230,4300,4140,4777660
26/05/2020,4230,HAG,4170,4310,4160,3518040
25/05/2020,4160,HAG,4150,4190,4100,2018710
22/05/2020,4150,HAG,4130,4240,4070,3159530
21/05/2020,4140,HAG,4200,4350,4130,3774280
20/05/2020,4160,HAG,3900,4160,3870,7287380
19/05/2020,3890,HAG,3910,3920,3850,4019220
18/05/2020,3860,HAG,3880,3910,3850,1673830
15/05/2020,3880,HAG,3900,3940,3810,3910060
14/05/2020,3800,HAG,3800,3880,3770,4191140
13/05/2020,3860,HAG,3830,3930,3780,3320990
12/5/2020,3850,HAG,3910,3960,3720,5671790
11/5/2020,3760,HAG,3520,3760,3510,4426970
8/5/2020,3520,HAG,3600,3600,3500,5525600
7/5/2020,3550,HAG,3540,3610,3500,1944360
6/5/2020,3540,HAG,3500,3570,3450,1711130
5/5/2020,3460,HAG,3400,3490,3390,1735800
4/5/2020,3400,HAG,3570,3600,3400,5100170
29/04/2020,3600,HAG,3560,3680,3540,4366310
28/04/2020,3640,HAG,3470,3690,3420,2885270
27/04/2020,3500,HAG,3590,3600,3460,4283020
24/04/2020,3380,HAG,3160,3380,3130,11271290
23/04/2020,3160,HAG,3120,3190,3120,1456560
22/04/2020,3120,HAG,3090,3170,3090,1387350
21/04/2020,3120,HAG,3110,3170,3070,4872060
20/04/2020,3170,HAG,3200,3250,3170,4678320
17/04/2020,3170,HAG,3160,3200,3160,2246120
16/04/2020,3170,HAG,3100,3190,3100,1895280
15/04/2020,3110,HAG,3070,3190,3060,3224410
14/04/2020,3070,HAG,3100,3140,3040,2090410
13/04/2020,3130,HAG,3140,3150,3030,2976440
10/4/2020,3140,HAG,3190,3200,3120,4432550
9/4/2020,3200,HAG,3220,3250,3150,3068640
8/4/2020,3200,HAG,3150,3200,2980,3668370
7/4/2020,3100,HAG,3120,3130,2980,4339060
6/4/2020,3000,HAG,2900,3000,2820,4506840
3/4/2020,2810,HAG,2710,2830,2710,2116160
1/4/2020,2690,HAG,2450,2700,2450,2050100
31/03/2020,2550,HAG,2550,2630,2400,2582740
30/03/2020,2550,HAG,2550,2650,2480,3622610
27/03/2020,2660,HAG,2680,2700,2600,4166160
26/03/2020,2680,HAG,2730,2780,2660,2127350
25/03/2020,2710,HAG,2750,2780,2690,2012740
24/03/2020,2720,HAG,2740,2740,2600,2849490
23/03/2020,2740,HAG,2880,2900,2740,5117500
20/03/2020,2940,HAG,2930,2990,2930,883780
19/03/2020,2980,HAG,3030,3030,2910,2820690
18/03/2020,3030,HAG,3080,3120,3030,2425580
17/03/2020,3020,HAG,3000,3030,2980,2535800
16/03/2020,3030,HAG,3090,3100,3000,1558100
13/03/2020,3090,HAG,3010,3100,2980,6240590
12/3/2020,3100,HAG,3110,3130,2970,6904540
11/3/2020,3180,HAG,3370,3370,3150,3343620
10/3/2020,3260,HAG,3100,3350,3100,2074180
9/3/2020,3250,HAG,3250,3450,3250,3462110
6/3/2020,3490,HAG,3420,3500,3420,1275010
5/3/2020,3480,HAG,3540,3600,3470,2057860
4/3/2020,3520,HAG,3330,3540,3290,6200000
3/3/2020,3310,HAG,3300,3350,3300,1644240
2/3/2020,3270,HAG,3260,3300,3260,1185440
28/02/2020,3270,HAG,3270,3310,3230,1885160
27/02/2020,3330,HAG,3230,3400,3230,1519970
26/02/2020,3260,HAG,3300,3300,3250,1070130
25/02/2020,3350,HAG,3150,3350,3120,2673010
24/02/2020,3200,HAG,3400,3400,3200,4276830
21/02/2020,3440,HAG,3490,3500,3420,1359550
20/02/2020,3490,HAG,3520,3550,3490,1080760
19/02/2020,3510,HAG,3500,3550,3500,1022830
18/02/2020,3500,HAG,3490,3500,3470,979480
17/02/2020,3480,HAG,3500,3510,3470,853280
14/02/2020,3490,HAG,3500,3540,3470,915700
13/02/2020,3500,HAG,3570,3580,3490,1299930
12/2/2020,3580,HAG,3500,3610,3460,1518950
11/2/2020,3450,HAG,3430,3470,3430,781430
10/2/2020,3440,HAG,3500,3550,3430,791000
7/2/2020,3550,HAG,3590,3650,3530,1286950
6/2/2020,3530,HAG,3300,3530,3300,3102020
5/2/2020,3300,HAG,3170,3400,3170,1285410
4/2/2020,3270,HAG,3400,3410,3200,2530200
3/2/2020,3390,HAG,3390,3560,3390,4432890
31/01/2020,3640,HAG,3860,3860,3640,3002000
30/01/2020,3900,HAG,3990,3990,3870,2008040
22/01/2020,3980,HAG,4020,4020,3950,1111180
21/01/2020,3920,HAG,3860,3990,3860,800990
20/01/2020,3860,HAG,3840,3880,3840,470690
17/01/2020,3880,HAG,3850,3910,3840,852640
16/01/2020,3840,HAG,3930,3950,3780,1950740
15/01/2020,3900,HAG,3940,3990,3900,1207280
14/01/2020,3940,HAG,4010,4030,3930,1222410
13/01/2020,4000,HAG,4100,4100,3980,1173520
10/1/2020,4080,HAG,4100,4110,4030,1009540
9/1/2020,4100,HAG,3990,4100,3960,1322450
8/1/2020,3910,HAG,4060,4080,3910,2566730
7/1/2020,4110,HAG,4020,4110,4020,1432510
6/1/2020,4090,HAG,4150,4150,4030,1454140
3/1/2020,4150,HAG,4070,4190,4050,3756690
2/1/2020,4050,HAG,3960,4050,3960,1101390
31/12/2019,3980,HAG,4010,4010,3900,1628300
30/12/2019,4020,HAG,4080,4080,3980,1301090
27/12/2019,4050,HAG,4080,4170,4010,1162190
26/12/2019,4080,HAG,3950,4180,3950,3835310
25/12/2019,3960,HAG,4010,4010,3960,938470
24/12/2019,4010,HAG,4000,4010,3950,1314270
23/12/2019,4000,HAG,3960,4030,3930,1684080
20/12/2019,3960,HAG,3930,3970,3900,1218120
19/12/2019,3950,HAG,4040,4020,3910,649460
18/12/2019,4040,HAG,4080,4100,3990,1106450
17/12/2019,4030,HAG,3960,4100,3950,2837480
16/12/2019,3960,HAG,3990,4000,3880,2119520
13/12/2019,3950,HAG,3970,4040,3900,1615880
12/12/2019,3970,HAG,4060,4060,3950,1065680
11/12/2019,4040,HAG,3910,4040,3910,2693690
10/12/2019,3900,HAG,3860,3960,3860,1573110
9/12/2019,3860,HAG,3760,3910,3720,1546460
6/12/2019,3720,HAG,3700,3750,3700,720930
5/12/2019,3700,HAG,3650,3700,3650,596090
4/12/2019,3630,HAG,3630,3640,3590,965620
3/12/2019,3610,HAG,3650,3660,3610,1481270
2/12/2019,3630,HAG,3890,3890,3620,3852370
29/11/2019,3850,HAG,3940,3970,3850,1545010
28/11/2019,3940,HAG,3960,3980,3940,618980
27/11/2019,3960,HAG,3910,3960,3910,520160
26/11/2019,3910,HAG,3900,3990,3880,821330
25/11/2019,3900,HAG,3990,4000,3900,2051520
22/11/2019,4000,HAG,4010,4040,3980,1545340
21/11/2019,4050,HAG,4050,4050,4010,538880
20/11/2019,4050,HAG,4110,4120,4030,808980
19/11/2019,4100,HAG,3990,4160,3990,1905920
18/11/2019,3980,HAG,4040,4050,3980,1307420
15/11/2019,4010,HAG,4100,4120,4010,1492730
14/11/2019,4080,HAG,4070,4100,4060,1404790
13/11/2019,4070,HAG,4140,4160,4050,1621460
12/11/2019,4140,HAG,4150,4180,4140,938610
11/11/2019,4170,HAG,4180,4180,4140,688690
8/11/2019,4180,HAG,4150,4190,4130,838670
7/11/2019,4150,HAG,4160,4210,4140,1006440
6/11/2019,4150,HAG,4100,4190,4100,2995670
5/11/2019,4240,HAG,4300,4310,4240,824790
4/11/2019,4290,HAG,4230,4330,4220,1534530
1/11/2019,4230,HAG,4240,4280,4220,885330
31/10/2019,4220,HAG,4280,4290,4220,1241440
30/10/2019,4290,HAG,4300,4320,4260,1027710
29/10/2019,4300,HAG,4340,4400,4290,1909100
28/10/2019,4360,HAG,4370,4430,4330,1488230
