DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,11150,HAH,10800,11150,10800,112320
11/6/2020,11150,HAH,12000,12000,11000,200340
10/6/2020,11800,HAH,11800,12000,11800,56100
9/6/2020,11900,HAH,12200,12200,11900,62580
8/6/2020,12100,HAH,12000,12350,11900,268000
5/6/2020,11800,HAH,11800,11800,11650,44080
4/6/2020,11650,HAH,11700,11800,11600,47190
3/6/2020,11800,HAH,11850,11900,11700,53490
2/6/2020,11850,HAH,11800,11850,11600,169100
1/6/2020,11800,HAH,11950,11950,11700,69030
29/05/2020,11950,HAH,11900,12000,11600,83520
28/05/2020,11900,HAH,11550,12000,11550,300180
27/05/2020,11350,HAH,11400,11600,11350,67420
26/05/2020,11400,HAH,10950,11600,10950,156510
25/05/2020,10950,HAH,10900,11000,10700,43180
22/05/2020,10900,HAH,10950,10950,10700,35060
21/05/2020,10950,HAH,11000,11100,10900,73320
20/05/2020,10950,HAH,11000,11000,10800,48100
19/05/2020,11000,HAH,11100,11200,10800,142180
18/05/2020,11100,HAH,11050,11150,10950,38750
15/05/2020,11050,HAH,11100,11200,11000,57740
14/05/2020,11100,HAH,11000,11300,11000,56360
13/05/2020,11250,HAH,10850,11300,10850,81490
12/5/2020,10850,HAH,10850,10950,10750,90670
11/5/2020,10850,HAH,10900,11000,10700,137920
8/5/2020,10800,HAH,10700,10900,10550,99730
7/5/2020,10700,HAH,10700,10700,10500,65300
6/5/2020,10500,HAH,10400,10650,10350,94500
5/5/2020,10400,HAH,10500,10650,10350,57540
4/5/2020,10600,HAH,10600,10800,10500,23950
29/04/2020,10700,HAH,10600,11000,10500,116440
28/04/2020,10500,HAH,10650,10650,10300,57240
27/04/2020,10500,HAH,10600,10650,10400,64370
24/04/2020,10500,HAH,10500,10600,10400,50560
23/04/2020,10600,HAH,10300,10700,10300,110500
22/04/2020,10350,HAH,10000,10350,9980,198310
21/04/2020,9980,HAH,10400,10400,9970,222230
20/04/2020,10450,HAH,10400,10550,10150,98720
17/04/2020,10400,HAH,10200,10400,10200,47600
16/04/2020,10200,HAH,10000,10300,10000,105930
15/04/2020,10150,HAH,9920,10200,9920,87230
14/04/2020,9920,HAH,9950,9970,9910,84590
13/04/2020,9950,HAH,10000,10000,9800,73460
10/4/2020,9950,HAH,9650,10000,9610,237900
9/4/2020,9600,HAH,9800,9800,9520,129990
8/4/2020,9640,HAH,9700,9700,9490,201590
7/4/2020,9790,HAH,10150,10150,9660,239260
6/4/2020,9850,HAH,9440,9900,9440,113850
3/4/2020,9440,HAH,8800,9440,8800,183350
1/4/2020,8900,HAH,8510,8900,8510,179790
31/03/2020,8450,HAH,8400,8800,8400,82420
30/03/2020,8400,HAH,8600,8600,8300,39630
27/03/2020,8700,HAH,9000,9000,8600,71230
26/03/2020,8800,HAH,9090,9090,8800,101100
25/03/2020,9090,HAH,9100,9100,8750,56260
24/03/2020,8700,HAH,7930,8800,7930,170040
23/03/2020,8250,HAH,8860,8930,8240,194550
20/03/2020,8860,HAH,9200,9200,8800,55720
19/03/2020,8860,HAH,9190,9190,8800,99850
18/03/2020,9190,HAH,9010,9300,9010,49610
17/03/2020,9100,HAH,9000,9100,8800,67280
16/03/2020,9000,HAH,9000,9300,9000,87270
13/03/2020,9200,HAH,9500,9500,8840,301140
12/3/2020,9500,HAH,10000,10000,9500,113970
11/3/2020,10050,HAH,10150,10300,9970,206680
10/3/2020,10150,HAH,9900,10250,9810,83080
9/3/2020,10000,HAH,10450,10450,9910,142320
6/3/2020,10500,HAH,10600,10600,10500,83590
5/3/2020,10600,HAH,10500,10700,10500,80650
4/3/2020,10500,HAH,10400,10650,10400,16760
3/3/2020,10400,HAH,10700,10750,10400,149880
2/3/2020,10700,HAH,10600,10800,10400,116840
28/02/2020,10700,HAH,10450,10700,10250,92680
27/02/2020,10450,HAH,10750,10950,10450,224360
26/02/2020,10700,HAH,10750,11100,10600,79520
25/02/2020,11000,HAH,10700,11000,10500,109360
24/02/2020,10800,HAH,11200,11200,10700,146700
21/02/2020,11300,HAH,11300,11450,11200,92670
20/02/2020,11350,HAH,11350,11400,11250,28460
19/02/2020,11300,HAH,11300,11350,11100,48140
18/02/2020,11250,HAH,11000,11400,11000,54540
17/02/2020,11000,HAH,10900,11050,10800,106150
14/02/2020,10850,HAH,10800,10950,10800,51530
13/02/2020,10800,HAH,10800,10900,10700,73150
12/2/2020,10800,HAH,10500,10800,10500,49560
11/2/2020,10500,HAH,10600,10700,10450,115390
10/2/2020,10500,HAH,10350,10650,10300,93640
7/2/2020,10450,HAH,10300,10500,10000,67450
6/2/2020,10300,HAH,10300,10300,9900,157350
5/2/2020,10300,HAH,10300,10300,9870,200270
4/2/2020,10300,HAH,10300,10800,9800,377140
3/2/2020,10300,HAH,10800,10800,10150,89900
31/01/2020,10900,HAH,11250,11250,10550,113390
30/01/2020,11300,HAH,11350,11450,11100,124060
22/01/2020,11500,HAH,11350,11600,11350,65470
21/01/2020,11450,HAH,11550,11600,11350,57680
20/01/2020,11500,HAH,11400,11500,11300,124020
17/01/2020,11450,HAH,11400,11450,11350,77780
16/01/2020,11350,HAH,11350,11550,11300,124840
15/01/2020,11350,HAH,11350,11400,11250,121140
14/01/2020,11350,HAH,11500,11500,11300,63100
13/01/2020,11300,HAH,11550,11550,11200,124300
10/1/2020,11300,HAH,11300,11400,11300,149280
9/1/2020,11300,HAH,11300,11400,11250,37270
