DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,11950,HBC,10850,11950,10850,12708140
11/6/2020,11200,HBC,12300,12450,11200,19632740
10/6/2020,11650,HBC,11250,11650,10900,9509350
9/6/2020,10900,HBC,10300,10900,10100,9950170
8/6/2020,10200,HBC,10000,10300,9860,14256100
5/6/2020,9630,HBC,9100,9630,9050,12774620
4/6/2020,9000,HBC,8880,9190,8810,4659340
3/6/2020,8760,HBC,8720,8830,8660,2815120
2/6/2020,8680,HBC,8940,8940,8670,4061550
1/6/2020,8840,HBC,8870,8970,8780,4687480
29/05/2020,8870,HBC,9020,9060,8870,3860480
28/05/2020,9060,HBC,9100,9240,9040,3791500
27/05/2020,9040,HBC,9080,9500,8960,6593700
26/05/2020,9030,HBC,8920,9190,8890,3494300
25/05/2020,8890,HBC,8900,8970,8820,2278820
22/05/2020,8820,HBC,8750,9120,8750,4798100
21/05/2020,8740,HBC,8750,8840,8740,2447940
20/05/2020,8750,HBC,8650,8800,8650,1985130
19/05/2020,8700,HBC,8900,8900,8630,4706770
18/05/2020,8630,HBC,8450,8680,8280,3518230
15/05/2020,8510,HBC,8900,8980,8480,5281280
14/05/2020,8850,HBC,8750,9180,8710,6544680
13/05/2020,8620,HBC,8000,8620,7900,6806120
12/5/2020,8060,HBC,7850,8130,7750,4100030
11/5/2020,7850,HBC,7750,7960,7690,3232240
8/5/2020,7700,HBC,7790,7850,7690,3204040
7/5/2020,7800,HBC,7540,7840,7490,3014140
6/5/2020,7470,HBC,7400,7590,7380,2295460
5/5/2020,7440,HBC,7400,7440,7080,2027280
4/5/2020,7440,HBC,7560,7700,7440,5401870
29/04/2020,8000,HBC,8150,8340,8000,2202330
28/04/2020,8150,HBC,8050,8190,7840,4827640
27/04/2020,7950,HBC,7700,8030,7620,4442750
24/04/2020,7600,HBC,7460,7650,7460,1299630
23/04/2020,7590,HBC,7730,7850,7580,2217130
22/04/2020,7600,HBC,7200,7650,7200,2584540
21/04/2020,7360,HBC,7760,7850,7360,4858400
20/04/2020,7910,HBC,8050,8090,7810,5549320
17/04/2020,7990,HBC,7900,8070,7900,3619820
