DATE,OPEN,HIGH,LOW,CLOSING PRICE,VOLUME
6/12/2020,24500,26500,24500,26500,19891260
6/11/2020,26850,27150,25500,25500,22959560
6/10/2020,27000,27400,26650,27000,9912520
6/9/2020,27950,28000,26950,27100,18693450
6/8/2020,27500,28100,27300,27700,17444920
6/5/2020,26500,27300,26200,27050,13532060
6/4/2020,27000,27400,26600,26600,14528200
6/3/2020,27050,27200,26600,26950,12062120
6/2/2020,27800,27800,26950,27050,11489000
6/1/2020,27800,27800,27450,27650,8022890
5/29/2020,27300,27700,27000,27400,13223390
5/28/2020,27500,27600,26900,27200,14586370
5/27/2020,28600,28600,27200,27200,20269190
5/26/2020,27350,28400,27300,28400,11503490
5/25/2020,27500,27800,27150,27300,11238880
5/22/2020,26350,27450,26250,27250,18037530
5/21/2020,26350,26550,26100,26500,11513810
5/20/2020,26000,26600,25650,26450,11848470
5/19/2020,26400,26850,26050,26150,19332950
5/18/2020,24450,25100,24000,25100,14336920
5/15/2020,23950,24050,23400,23500,9377060
5/14/2020,23800,24100,23700,23950,6617650
5/13/2020,23450,24200,23300,24100,9948210
5/12/2020,23650,23900,23400,23650,10907620
5/11/2020,23700,24100,23300,23950,7320240
5/8/2020,23800,24150,23400,23400,12806610
5/7/2020,22300,23600,22300,23600,15337250
5/6/2020,21550,22200,21500,22200,8310940
5/5/2020,21400,21650,21300,21400,5894530
5/4/2020,21500,21550,21000,21000,4834580
4/29/2020,21400,21700,21000,21500,7447050
4/28/2020,22000,22100,21250,21400,7757010
4/27/2020,22250,22600,21850,21950,7496160
4/24/2020,21700,22200,21300,22100,8519650
4/23/2020,21300,21950,21300,21600,8515940
4/22/2020,20500,21300,20300,20800,11323060
4/21/2020,20750,21250,20150,20200,12434710
4/20/2020,21000,21500,20550,21200,9422860
4/17/2020,20250,20800,20200,20700,8987440
4/16/2020,19950,20400,19750,20250,6665670
4/15/2020,20000,20300,19950,20100,5960450
4/14/2020,19300,19950,19200,19950,8744760
4/13/2020,18800,19500,18700,19350,9295420
4/10/2020,18500,19000,18300,18800,6058450
4/9/2020,18800,19000,18550,18550,7134720
4/8/2020,18400,18800,18300,18700,5106690
4/7/2020,19050,19100,18250,19000,7683620
4/6/2020,18150,18850,17900,18850,10508240
4/3/2020,17250,17700,17200,17650,6503290
4/1/2020,16700,17500,16650,17250,5936380
3/31/2020,16350,17350,15250,16850,11383440
3/30/2020,15300,16700,15250,16350,11165540
3/27/2020,16900,17000,15800,16200,13442640
3/26/2020,17550,17600,16900,16950,9594960
3/25/2020,17850,17850,17400,17800,7758210
3/24/2020,17000,17350,16650,17100,14160390
3/23/2020,17400,18000,17300,17300,13017170
3/20/2020,19250,19300,18600,18600,13401260
3/19/2020,19400,19500,18900,19150,7931200
3/18/2020,19400,20100,19350,19700,11669410
3/17/2020,18600,19300,18600,19200,6853400
3/16/2020,19200,19850,18950,19100,10261924
3/13/2020,18050,19700,17950,19050,13970580
3/12/2020,19550,19800,19150,19250,15147329
3/11/2020,21700,21800,20150,20550,9202920
3/10/2020,20500,21750,20500,21650,8137980
3/9/2020,20850,21550,20850,20850,17131550
3/6/2020,22350,22450,22250,22400,3270470
3/5/2020,22600,22650,22350,22350,2594810
3/4/2020,22400,22600,22350,22350,2946050
3/3/2020,22800,22800,22300,22300,4411940
3/2/2020,22200,22500,22200,22300,4232540
2/28/2020,22550,22800,22250,22350,6801970
2/27/2020,22700,23050,22700,22950,3468240
2/26/2020,22750,23000,22700,22750,4502880
2/25/2020,22600,23100,22600,23100,5303830
2/24/2020,22750,23150,22700,22700,13241454
2/21/2020,23750,23800,23500,23550,4513960
2/20/2020,23450,23750,23250,23750,5425250
2/19/2020,23300,23450,23100,23250,7996650
2/18/2020,23850,23850,23300,23300,7456030
2/17/2020,23700,23850,23600,23750,2743840
2/14/2020,23600,23750,23350,23700,7702290
2/13/2020,23750,23900,23600,23700,6386850
2/12/2020,23500,24150,23450,23800,9719400
2/11/2020,24450,24600,23450,23600,12551620
2/10/2020,24000,24650,23950,24350,5779930
2/7/2020,25200,25300,24200,24350,8120240
2/6/2020,24400,25200,24300,25200,9214150
2/5/2020,24850,25000,24200,24450,7068550
2/4/2020,24650,24800,24100,24600,8126090
2/3/2020,23300,24800,22700,24550,12079180
1/31/2020,25000,25300,24100,24100,11221470
1/30/2020,25550,25900,24950,25300,13028790
1/22/2020,25850,26400,25850,26300,8959900
1/21/2020,25750,26000,25550,25850,5981660
1/20/2020,25000,25500,24700,25500,5811790
1/17/2020,25300,25650,24900,25000,6329150
1/16/2020,25000,25350,24950,25300,6855030
1/15/2020,25050,25350,24900,25150,6051520
1/14/2020,24250,25050,24200,25000,9913300
1/13/2020,24200,24400,24100,24250,4456520
1/10/2020,24100,24550,24050,24200,10256180
1/9/2020,23600,24150,23600,24000,4613440
1/8/2020,23500,23650,23150,23450,6581130
1/7/2020,24100,24200,23600,23700,4871220
1/6/2020,24000,24250,23850,24000,5371060
1/3/2020,24200,24350,24050,24150,7832210
1/2/2020,23500,24000,23350,24000,4232230
12/30/2019,23650,23850,23500,23650,3356980
12/27/2019,23000,23550,22850,23550,4460570
12/26/2019,23300,23300,23000,23000,3387690
12/25/2019,23200,23400,23150,23150,3278750
12/24/2019,23050,23300,22950,23200,4159640
12/23/2019,23150,23500,22950,23050,4009100
12/20/2019,22950,23250,22800,23000,7085790
12/19/2019,22550,23100,22550,22800,11868740
12/18/2019,23150,23150,22500,22550,9180830
12/17/2019,23750,23850,22900,23150,11563200
12/16/2019,23800,23900,23550,23750,7163850
12/13/2019,24200,24500,23800,23800,9476390
12/12/2019,24300,24400,24100,24200,4452040
12/11/2019,24300,24400,23900,24400,5621140
12/10/2019,24200,24550,24100,24400,10337070
12/9/2019,23850,24450,23850,24200,8402140
12/6/2019,23100,23900,23100,23850,7223030
12/5/2019,23350,23450,23050,23100,5267270
12/4/2019,23400,23600,23350,23450,6117700
12/3/2019,22950,23700,22700,23450,11284390
12/2/2019,22850,23200,22850,22950,9096550
11/29/2019,22600,22950,22450,22850,6641320
11/28/2019,22600,22700,22450,22600,5706940
11/27/2019,22750,22800,22550,22600,3524960
11/26/2019,22350,22800,22350,22650,8352683
11/25/2019,22150,22350,22000,22250,6345870
11/22/2019,22200,22350,22000,22100,6265620
11/21/2019,22300,22350,22000,22000,9519606
11/20/2019,22800,22800,22250,22400,7373150
11/19/2019,22950,22950,22700,22800,18729634
11/18/2019,22700,23000,22700,22900,4195760
11/15/2019,22650,22800,22550,22650,4263980
11/14/2019,22650,22850,22500,22650,5606590
11/13/2019,23100,23150,22650,22650,6663316
11/12/2019,22750,23100,22550,23000,7126830
11/11/2019,22600,23100,22600,22800,8821180
11/8/2019,22700,22800,22500,22700,5827050
11/7/2019,22150,22750,22100,22700,14467350
11/6/2019,22000,22150,21950,22000,5545660
11/5/2019,21800,22150,21750,21900,6382860
11/4/2019,22100,22200,21700,21750,7105110
11/1/2019,21900,22100,21800,21900,4713970
10/31/2019,22000,22050,21700,21800,7424680
10/30/2019,22250,22250,22000,22000,3066190
10/29/2019,22200,22450,22100,22200,5878540
10/28/2019,21800,22300,21650,22200,9943840
10/25/2019,22000,22000,21750,21800,2712380
10/24/2019,21900,22100,21850,22000,5380080
10/23/2019,21600,22100,21600,21850,7595670
10/22/2019,21200,21650,21200,21600,4509850
10/21/2019,21400,21450,21200,21200,3402930
10/18/2019,21550,21550,21300,21400,3201630
10/17/2019,21300,21650,21300,21400,4831150
10/16/2019,21400,21500,21300,21300,3222200
10/16/2019,21400,21500,21300,21300,3222200
10/15/2019,21500,21700,21350,21350,4252960
10/15/2019,21500,21700,21350,21350,4252960
10/14/2019,21700,21700,21450,21450,3152400
10/11/2019,21600,21700,21400,21500,4148140
10/10/2019,21900,22100,21500,21500,4182250
10/9/2019,21900,21900,21700,21900,3151990
10/8/2019,21400,21900,21250,21900,4247030
10/7/2019,21350,21500,21200,21300,3756250
10/4/2019,21600,21700,21300,21350,4992630
10/3/2019,21700,21700,21450,21550,4988270
10/2/2019,22000,22050,21700,21750,4962700
10/1/2019,21950,22200,21850,21900,4280670
9/30/2019,22200,22250,21950,21950,4419680
9/27/2019,22250,22450,22150,22150,3189980
9/26/2019,22000,22250,21700,22250,3902860
9/25/2019,22100,22100,21750,21900,5902320
9/24/2019,21950,22150,21850,22150,2638580
9/23/2019,22600,22600,22000,22000,5034840
9/20/2019,22950,22950,22550,22650,6461450
9/19/2019,23000,23050,22700,22950,5058850
9/18/2019,22700,23050,22600,23000,7545770
9/17/2019,22650,22700,22400,22700,4765890
9/16/2019,22450,22650,22250,22650,5400470
9/13/2019,22500,22650,22400,22600,5619330
9/12/2019,22150,22600,22150,22550,5720010
9/11/2019,21300,22050,21250,22050,6722490
9/10/2019,21200,21350,21100,21300,5385540
9/9/2019,21500,21550,21200,21200,4038180
9/6/2019,21800,21900,21400,21400,4405690
9/5/2019,21650,21950,21600,21700,3534620
9/4/2019,21500,21800,21500,21600,6396960
9/3/2019,22200,22300,21650,21650,5588060
