DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,17650,MBB,17100,17650,17100,10033880
11/6/2020,17500,MBB,18700,18850,17500,9855080
10/6/2020,18600,MBB,18050,18850,17950,10294970
9/6/2020,18100,MBB,18150,18200,18050,5953860
8/6/2020,18100,MBB,18150,18300,18050,8114180
5/6/2020,17900,MBB,17950,18000,17800,6864850
4/6/2020,18000,MBB,18150,18300,18000,8631510
3/6/2020,18050,MBB,18000,18100,17900,4396970
2/6/2020,17900,MBB,18000,18300,17900,14019730
1/6/2020,17850,MBB,17250,18050,17250,17148300
29/05/2020,17200,MBB,17300,17300,17150,4370270
28/05/2020,17300,MBB,17350,17500,17250,3439560
27/05/2020,17300,MBB,17800,17800,17300,10811090
26/05/2020,17600,MBB,17400,17600,17350,9158970
25/05/2020,17300,MBB,17250,17450,17200,4244600
22/05/2020,17250,MBB,17500,17650,17200,7705210
21/05/2020,17600,MBB,17350,17650,17250,8733490
20/05/2020,17300,MBB,17250,17400,17150,4064620
19/05/2020,17400,MBB,17400,17500,17250,9169410
18/05/2020,17050,MBB,16950,17100,16800,4693050
15/05/2020,16950,MBB,17400,17450,16950,8051150
14/05/2020,17300,MBB,17300,17550,17100,7371050
13/05/2020,17500,MBB,17400,17650,17000,10535970
12/5/2020,17200,MBB,16800,17200,16600,11943010
11/5/2020,16800,MBB,16900,17000,16500,13871460
8/5/2020,16600,MBB,16400,17000,16400,12648540
7/5/2020,16300,MBB,15950,16350,15950,6237880
6/5/2020,15950,MBB,15900,16000,15700,3827470
5/5/2020,15800,MBB,15900,15950,15650,2512680
4/5/2020,15850,MBB,15950,16050,15850,2266940
29/04/2020,15950,MBB,15900,16100,15850,2734790
28/04/2020,15800,MBB,15800,15950,15600,2897820
27/04/2020,15700,MBB,16100,16200,15700,4853010
24/04/2020,16050,MBB,16000,16150,15900,2664100
23/04/2020,16150,MBB,16400,16450,16050,3568320
22/04/2020,16100,MBB,15250,16150,15250,5228620
21/04/2020,15650,MBB,16400,16450,15650,10667070
20/04/2020,16650,MBB,17000,17150,16600,10896580
17/04/2020,17000,MBB,16700,17150,16600,7574590
16/04/2020,16500,MBB,16250,16500,16000,4540410
15/04/2020,16350,MBB,16000,16500,15900,10310960
14/04/2020,15900,MBB,16000,16000,15500,7022430
13/04/2020,15750,MBB,15550,16050,15500,6297620
10/4/2020,15550,MBB,15800,15950,15450,8220670
9/4/2020,15800,MBB,16000,16100,15700,7173300
8/4/2020,15700,MBB,15500,15850,15400,4976890
7/4/2020,15950,MBB,16150,16200,15700,12576310
6/4/2020,15750,MBB,15200,15750,15150,7996310
3/4/2020,14750,MBB,14300,14950,14250,5151710
1/4/2020,14250,MBB,13450,14300,13350,6406330
31/03/2020,13550,MBB,13800,14100,13150,5690150
30/03/2020,13600,MBB,14000,14100,13600,7287180
27/03/2020,14600,MBB,15100,15150,14500,5378700
26/03/2020,15050,MBB,15500,15550,15050,4627510
25/03/2020,15650,MBB,15300,15650,15050,6925670
24/03/2020,14800,MBB,15000,15000,14450,7412520
23/03/2020,14900,MBB,15200,15600,14900,9616920
20/03/2020,16000,MBB,16150,16300,15950,4348520
19/03/2020,16100,MBB,16200,16400,16000,3879280
18/03/2020,16500,MBB,16950,16950,16500,5287310
17/03/2020,16700,MBB,16000,16700,15750,9350190
16/03/2020,16450,MBB,17150,17300,16400,4256130
13/03/2020,17100,MBB,15850,17900,15800,11673000
12/3/2020,16950,MBB,17400,17600,16950,15483860
11/3/2020,18200,MBB,19450,19500,17900,7990830
10/3/2020,19150,MBB,18900,19550,18750,7083800
9/3/2020,19250,MBB,19550,19900,19250,12282460
6/3/2020,20650,MBB,20500,20700,20400,3822460
5/3/2020,20650,MBB,20900,20950,20650,4512210
4/3/2020,20750,MBB,20800,20850,20600,3856070
3/3/2020,20900,MBB,21050,21150,20800,5788700
2/3/2020,20700,MBB,20500,20800,20450,4996110
28/02/2020,20400,MBB,20500,20750,20350,7020070
27/02/2020,20900,MBB,20550,20900,20450,4046120
26/02/2020,20500,MBB,20350,20900,20350,5079630
25/02/2020,20800,MBB,20000,20800,19850,11926410
24/02/2020,20100,MBB,20700,20800,20100,12138250
21/02/2020,21200,MBB,21700,21700,21150,8795360
20/02/2020,21650,MBB,21800,21900,21600,6104470
19/02/2020,21600,MBB,21750,21800,21500,4586120
18/02/2020,21750,MBB,22050,22100,21700,5400900
17/02/2020,21950,MBB,22000,22200,21800,9693630
14/02/2020,21750,MBB,21600,21900,21550,9083550
13/02/2020,21400,MBB,21550,21750,21350,6581630
12/2/2020,21650,MBB,21450,21900,21300,10980490
11/2/2020,21200,MBB,21100,21300,21050,4331600
10/2/2020,21000,MBB,21100,21300,20950,6111600
7/2/2020,21400,MBB,21750,21800,21400,8050600
6/2/2020,21800,MBB,21150,22000,20900,12119010
5/2/2020,21150,MBB,21400,21600,21050,7177000
4/2/2020,21150,MBB,20650,21550,20150,9461800
3/2/2020,20350,MBB,20150,20800,19500,14421110
31/01/2020,20800,MBB,21050,21550,20800,8065490
30/01/2020,21250,MBB,21900,22100,21200,8995010
22/01/2020,22400,MBB,22550,22600,22350,4991520
