DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,22500,PAC,21250,23600,21250,67490
11/6/2020,22700,PAC,24000,24200,22700,77550
10/6/2020,24000,PAC,23600,24000,23000,73880
9/6/2020,23600,PAC,24000,24000,23400,74590
8/6/2020,23400,PAC,24000,24000,23400,44520
5/6/2020,23400,PAC,22500,23700,22500,151410
4/6/2020,22500,PAC,22400,22850,22400,38520
3/6/2020,22700,PAC,22500,22800,22500,66740
2/6/2020,22500,PAC,22600,22800,22300,117350
1/6/2020,22700,PAC,22600,22800,22450,61000
29/05/2020,22600,PAC,22550,22600,22300,39090
28/05/2020,22550,PAC,22600,22900,22550,86510
27/05/2020,22550,PAC,22500,22900,22500,72260
26/05/2020,22500,PAC,22300,22500,22000,59120
25/05/2020,21650,PAC,21500,22400,21500,71560
22/05/2020,21250,PAC,22500,22700,21250,72720
21/05/2020,22800,PAC,23000,23100,22600,38210
20/05/2020,22700,PAC,23250,23250,22500,47850
19/05/2020,23000,PAC,23000,23600,23000,37100
18/05/2020,23000,PAC,22300,23000,22200,118460
15/05/2020,22300,PAC,23000,23100,22300,67240
14/05/2020,22950,PAC,23150,23750,22950,64880
13/05/2020,23500,PAC,23500,23600,23300,54870
12/5/2020,23600,PAC,22650,24000,22300,102860
11/5/2020,22550,PAC,22500,22800,22100,79080
8/5/2020,22800,PAC,22100,22800,22000,73780
7/5/2020,22050,PAC,22300,22300,22050,79360
6/5/2020,22250,PAC,22000,22400,22000,47480
5/5/2020,22100,PAC,22400,22400,21700,68940
4/5/2020,22400,PAC,22300,22750,21700,135770
29/04/2020,22300,PAC,21700,22700,21700,77510
28/04/2020,21700,PAC,20000,21700,19900,488760
27/04/2020,20300,PAC,21200,21200,20300,76670
24/04/2020,21000,PAC,21400,22000,20850,97480
23/04/2020,21400,PAC,19800,21400,19800,337720
22/04/2020,20000,PAC,19300,20300,19050,225540
21/04/2020,19350,PAC,20300,20500,19350,137690
20/04/2020,20800,PAC,20400,20900,20300,87990
17/04/2020,20400,PAC,20450,20800,20300,133990
16/04/2020,20300,PAC,20900,20900,20100,43520
15/04/2020,20900,PAC,21000,21000,20500,48710
14/04/2020,20500,PAC,20400,21800,20150,101160
13/04/2020,20400,PAC,19400,20700,19000,40950
10/4/2020,19400,PAC,19350,19700,18800,58790
9/4/2020,18850,PAC,17900,18850,17600,52880
8/4/2020,17650,PAC,17700,17700,17400,93270
7/4/2020,17700,PAC,18100,18100,17700,105770
6/4/2020,17750,PAC,17600,18300,17450,131760
3/4/2020,17500,PAC,16950,17500,16700,124760
1/4/2020,16700,PAC,17000,17000,16600,48440
31/03/2020,17000,PAC,17000,17100,16400,64610
30/03/2020,17500,PAC,18000,18000,17000,25980
27/03/2020,18000,PAC,19000,19000,18000,15720
26/03/2020,19000,PAC,19400,19400,18900,16430
25/03/2020,19350,PAC,19400,19400,19000,36830
24/03/2020,19400,PAC,18400,19400,18400,36000
23/03/2020,19300,PAC,19500,19500,19300,15260
20/03/2020,20700,PAC,21000,21000,20000,8040
19/03/2020,20700,PAC,21000,21000,20150,24920
18/03/2020,20800,PAC,20500,20800,20050,52070
17/03/2020,20000,PAC,19600,20500,19600,14710
