DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,16000,SHB,15000,16000,14000,3997346
11/6/2020,15500,SHB,16400,16900,15500,11068056
10/6/2020,16200,SHB,16100,16400,15800,4871557
9/6/2020,16100,SHB,16200,16500,16100,4048463
8/6/2020,16400,SHB,16000,16600,15900,7691861
5/6/2020,16000,SHB,15900,16000,15600,5735946
4/6/2020,15900,SHB,15200,16000,15200,6320457
3/6/2020,15200,SHB,14000,15200,13800,12214182
2/6/2020,14000,SHB,14000,14300,13800,4778747
1/6/2020,14100,SHB,14000,14200,13700,9478349
29/05/2020,14000,SHB,14100,14100,13700,6773051
28/05/2020,14100,SHB,13600,14300,13400,9248948
27/05/2020,13600,SHB,13900,14200,13400,9628207
26/05/2020,14000,SHB,13800,14300,13100,9933431
25/05/2020,14100,SHB,13600,14500,13100,8898341
22/05/2020,13200,SHB,12000,13200,11500,13863233
21/05/2020,12000,SHB,11800,12500,11800,26292100
20/05/2020,13100,SHB,14500,14500,13100,6287217
19/05/2020,14500,SHB,14900,15400,14400,4170990
18/05/2020,14900,SHB,15500,15500,14000,6367453
15/05/2020,15500,SHB,17200,17200,15500,4373756
14/05/2020,17200,SHB,17200,17400,16900,2680578
13/05/2020,17300,SHB,17100,17400,16900,1176130
12/5/2020,17300,SHB,17500,17500,17100,1544029
11/5/2020,17500,SHB,17000,17500,16900,2107280
8/5/2020,17000,SHB,16100,17000,15500,3808903
7/5/2020,16100,SHB,15500,16100,15500,2012928
6/5/2020,15500,SHB,15200,15500,14800,2734983
5/5/2020,15200,SHB,15500,15800,15100,2449848
4/5/2020,15600,SHB,15800,15800,15500,1922976
29/04/2020,15900,SHB,16000,16000,15700,1362714
28/04/2020,16000,SHB,16100,16100,15400,1814591
27/04/2020,16100,SHB,16300,16400,15900,1674463
24/04/2020,16400,SHB,16000,16400,16000,1236565
23/04/2020,16400,SHB,16200,16800,16100,1785925
22/04/2020,16200,SHB,15500,16800,14500,3305313
21/04/2020,15700,SHB,17000,17400,15700,5584359
20/04/2020,17400,SHB,18000,18000,17400,4937658
17/04/2020,18000,SHB,17500,18200,17500,4932621
16/04/2020,17900,SHB,18000,18000,17500,2606662
15/04/2020,18000,SHB,17700,18000,17600,5145129
14/04/2020,17800,SHB,17800,17800,17100,5084359
13/04/2020,17800,SHB,17600,18200,17000,3262672
10/4/2020,17500,SHB,16300,18000,15000,4915216
9/4/2020,16400,SHB,15400,16500,15200,3893860
8/4/2020,15500,SHB,14800,15500,14600,6052955
7/4/2020,14900,SHB,14600,14900,14200,5730224
6/4/2020,14600,SHB,13000,14600,13000,9067705
3/4/2020,13300,SHB,12900,13300,12800,4185700
1/4/2020,12900,SHB,12000,13000,12000,3776573
31/03/2020,12200,SHB,11900,12400,11900,3548092
30/03/2020,11900,SHB,12200,12200,11600,4326720
27/03/2020,12400,SHB,12500,12600,12100,3671541
26/03/2020,12500,SHB,12700,12800,12300,4013630
25/03/2020,12700,SHB,11900,12700,11900,4967554
24/03/2020,11900,SHB,11700,12000,11600,8322806
23/03/2020,11800,SHB,11600,12000,11600,13749681
20/03/2020,12000,SHB,11700,12000,11400,6011812
19/03/2020,11800,SHB,11900,11900,11500,4986718
18/03/2020,11900,SHB,11000,12000,11000,7407963
17/03/2020,11300,SHB,10700,11300,10400,12201261
16/03/2020,11000,SHB,10900,11000,10500,8688136
13/03/2020,11000,SHB,10700,11300,10100,28882992
12/3/2020,11200,SHB,11100,11500,10800,16970413
11/3/2020,11100,SHB,9600,11100,9500,28794377
10/3/2020,10100,SHB,10100,11200,10100,14000432
9/3/2020,11200,SHB,11300,12100,11200,4400928
6/3/2020,12400,SHB,12900,13000,12000,22246933
5/3/2020,12900,SHB,11900,13200,11800,65589848
4/3/2020,12000,SHB,11100,12000,10800,50027154
3/3/2020,11300,SHB,10500,11500,10300,42647821
2/3/2020,10500,SHB,9500,10500,9100,54625808
28/02/2020,9600,SHB,8800,9600,8600,34257491
27/02/2020,8800,SHB,8000,8800,8000,18183092
26/02/2020,8000,SHB,7300,8000,7200,30512712
25/02/2020,7300,SHB,7000,7400,6900,14034831
24/02/2020,7100,SHB,6900,7200,6700,20882603
21/02/2020,6900,SHB,7000,7100,6800,4420990
20/02/2020,6900,SHB,7000,7200,6900,9524499
19/02/2020,7000,SHB,7300,7300,7000,6807758
18/02/2020,7300,SHB,7300,7400,7200,4349999
17/02/2020,7400,SHB,7300,7500,7200,6810878
14/02/2020,7300,SHB,7200,7400,7200,5467484
13/02/2020,7200,SHB,7300,7300,7000,11588530
12/2/2020,7300,SHB,7200,7400,7200,8981890
11/2/2020,7200,SHB,6900,7200,6800,9393306
10/2/2020,6800,SHB,7100,7200,6800,10748016
7/2/2020,7100,SHB,7600,7700,7100,10890679
6/2/2020,7600,SHB,7400,7800,7400,9104379
5/2/2020,7400,SHB,6800,7400,6800,13147005
4/2/2020,6800,SHB,6700,6800,6600,7888715
3/2/2020,7900,SHB,7300,7900,7300,27397994
31/01/2020,7500,SHB,7500,7900,7400,18935757
30/01/2020,7500,SHB,7600,7900,7400,9105370
22/01/2020,7700,SHB,7400,7700,7400,5596112
21/01/2020,7400,SHB,7100,7600,7100,3921607
20/01/2020,7200,SHB,7300,7400,7200,5686173
17/01/2020,7300,SHB,7500,7700,7300,5603239
16/01/2020,7500,SHB,7400,7700,7400,5813973
15/01/2020,7400,SHB,7200,7400,7100,5862093
14/01/2020,7200,SHB,7200,7300,7100,4214729
13/01/2020,7200,SHB,7100,7300,7000,6713670
10/1/2020,7100,SHB,6600,7100,6600,12074293
9/1/2020,6500,SHB,6500,6700,6400,4564607
8/1/2020,6400,SHB,6400,6600,6300,4952178
7/1/2020,6400,SHB,6400,6600,6400,1900049
6/1/2020,6400,SHB,6500,6600,6400,2225405
3/1/2020,6500,SHB,6700,6700,6500,2756634
2/1/2020,6700,SHB,6500,6700,6500,5266138
31/12/2019,6500,SHB,6500,6600,6400,3941407
30/12/2019,6400,SHB,6400,6600,6300,6453871
27/12/2019,6400,SHB,6100,6400,6100,3477811
26/12/2019,6100,SHB,6200,6200,6100,1602485
25/12/2019,6200,SHB,6200,6300,6100,1527551
24/12/2019,6200,SHB,6200,6200,6100,1083863
23/12/2019,6200,SHB,6200,6300,6100,2001002
20/12/2019,6200,SHB,6200,6300,6100,1645382
19/12/2019,6200,SHB,6200,6300,6100,2917570
18/12/2019,6200,SHB,6300,6400,6200,1234769
17/12/2019,6300,SHB,6400,6500,6200,3629055
16/12/2019,6400,SHB,6100,6600,6100,8212423
13/12/2019,6000,SHB,6000,6100,6000,1287829
12/12/2019,6000,SHB,6100,6100,6000,859454
11/12/2019,6100,SHB,6100,6100,5900,1188911
10/12/2019,6000,SHB,6100,6100,6000,1101616
9/12/2019,6100,SHB,6200,6200,6000,1229267
6/12/2019,6100,SHB,6100,6200,6000,1706660
5/12/2019,6100,SHB,6100,6200,6000,1714885
4/12/2019,6100,SHB,6000,6200,6000,1357587
3/12/2019,6000,SHB,5900,6100,5900,1961490
2/12/2019,5900,SHB,6000,6100,5900,3284751
29/11/2019,6000,SHB,6200,6200,6000,4491797
28/11/2019,6200,SHB,6300,6400,6200,1903109
27/11/2019,6300,SHB,6500,6500,6300,1641829
26/11/2019,6400,SHB,6400,6500,6400,2027069
25/11/2019,6400,SHB,6400,6500,6300,2104471
22/11/2019,6400,SHB,6500,6500,6400,2266356
21/11/2019,6500,SHB,6600,6600,6400,2113433
20/11/2019,6600,SHB,6600,6600,6500,2163539
19/11/2019,6500,SHB,6500,6600,6500,1034709
18/11/2019,6500,SHB,6700,6700,6500,2177965
15/11/2019,6600,SHB,6600,6700,6500,2830430
14/11/2019,6600,SHB,6700,6700,6600,1009919
13/11/2019,6700,SHB,6700,6800,6600,3882309
12/11/2019,6700,SHB,6700,6800,6700,1114075
11/11/2019,6700,SHB,6800,6800,6700,2486069
8/11/2019,6800,SHB,6800,6900,6700,3735401
7/11/2019,6800,SHB,6700,6800,6700,1742118
6/11/2019,6700,SHB,6700,6800,6700,2399849
5/11/2019,6700,SHB,6700,6800,6600,2862740
4/11/2019,6700,SHB,6600,6900,6600,5626319
1/11/2019,6600,SHB,6600,6700,6600,1985704
31/10/2019,6600,SHB,6700,6800,6600,4408265
30/10/2019,6600,SHB,6600,6700,6600,1477074
29/10/2019,6600,SHB,6800,6900,6600,1318977
28/10/2019,6700,SHB,6600,6800,6500,4877805
25/10/2019,6500,SHB,6500,6700,6500,2135660
24/10/2019,6600,SHB,6500,6600,6500,501837
23/10/2019,6500,SHB,6600,6600,6500,2654492
22/10/2019,6600,SHB,6500,6600,6500,1433960
21/10/2019,6500,SHB,6600,6600,6400,4536917
18/10/2019,6600,SHB,6700,6700,6500,2705778
17/10/2019,6700,SHB,6700,6800,6600,1327624
16/10/2019,6700,SHB,6700,6800,6700,2215770
15/10/2019,6700,SHB,6700,6800,6600,1850797
14/10/2019,6700,SHB,6600,6800,6600,5452508
11/10/2019,6600,SHB,6600,6700,6500,1798906
10/10/2019,6500,SHB,6600,6600,6500,998113
9/10/2019,6500,SHB,6500,6700,6500,2772198
8/10/2019,6500,SHB,6500,6600,6500,1642425
7/10/2019,6500,SHB,6600,6600,6400,1861380
4/10/2019,6500,SHB,6600,6600,6500,692012
3/10/2019,6600,SHB,6500,6600,6400,1753704
2/10/2019,6500,SHB,6600,6700,6500,1373693
1/10/2019,6600,SHB,6600,6700,6500,1957804
30/09/2019,6600,SHB,6600,6800,6600,2659011
27/09/2019,6600,SHB,6600,6700,6600,1976014
26/09/2019,6700,SHB,6500,6700,6500,3054876
25/09/2019,6500,SHB,6500,6600,6400,1466360
24/09/2019,6500,SHB,6600,6600,6500,2874692
23/09/2019,6600,SHB,6500,6700,6500,3423276
20/09/2019,6500,SHB,6600,6700,6500,2834949
19/09/2019,6600,SHB,6300,6600,6300,5689809
18/09/2019,6300,SHB,6400,6400,6300,1225628
17/09/2019,6300,SHB,6400,6400,6300,2114474
16/09/2019,6400,SHB,6300,6400,6200,2609455
13/09/2019,6300,SHB,6200,6400,6200,3719112
12/9/2019,6200,SHB,6100,6300,6100,1793992
11/9/2019,6200,SHB,6100,6200,6100,1086359
10/9/2019,6200,SHB,6200,6300,6100,1472328
9/9/2019,6200,SHB,6200,6200,6100,610473
6/9/2019,6200,SHB,6300,6300,6100,1402399
5/9/2019,6200,SHB,6300,6300,6200,1230525
4/9/2019,6300,SHB,6300,6300,6100,2036434
3/9/2019,6200,SHB,6400,6400,6200,2415703
30/08/2019,6300,SHB,6300,6400,6200,2124956
29/08/2019,6300,SHB,6300,6400,6300,1196348
28/08/2019,6300,SHB,6300,6400,6200,2363726
27/08/2019,6300,SHB,6300,6400,6200,3619470
26/08/2019,6300,SHB,6300,6300,6100,2997472
23/08/2019,6300,SHB,6100,6300,6100,5467301
22/08/2019,6100,SHB,6000,6200,6000,2565008
21/08/2019,6100,SHB,6200,6200,6100,5226753
20/08/2019,6200,SHB,6300,6400,6200,6238858
19/08/2019,6300,SHB,6300,6400,6200,2151786
16/08/2019,6300,SHB,6300,6400,6200,3378952
15/08/2019,6300,SHB,6400,6400,6200,2775767
14/08/2019,6400,SHB,6400,6500,6300,1961389
13/08/2019,6400,SHB,6400,6500,6300,1780796
12/8/2019,6400,SHB,6400,6500,6400,1033448
9/8/2019,6400,SHB,6400,6500,6400,2219241
8/8/2019,6400,SHB,6400,6500,6300,2085509
7/8/2019,6400,SHB,6400,6500,6300,2091815
6/8/2019,6400,SHB,6400,6500,6300,3949015
5/8/2019,6500,SHB,6600,6600,6400,4611097
2/8/2019,6600,SHB,6600,6600,6500,1128787
1/8/2019,6600,SHB,6600,6700,6500,2954962
31/07/2019,6600,SHB,6600,6700,6400,9593717
30/07/2019,6600,SHB,6800,6800,6600,3580677
29/07/2019,6800,SHB,6800,6900,6700,1478717
26/07/2019,6900,SHB,6900,6900,6800,4236831
25/07/2019,6900,SHB,6800,6900,6800,1368419
24/07/2019,6800,SHB,6800,7000,6800,6613100
23/07/2019,6800,SHB,6800,6900,6700,3123309
22/07/2019,6800,SHB,6900,6900,6700,3553148
19/07/2019,6900,SHB,6800,6900,6700,3296284
18/07/2019,6800,SHB,6800,6900,6700,3502537
17/07/2019,6800,SHB,6800,6900,6700,7431226
16/07/2019,6700,SHB,6800,6800,6700,2837140
15/07/2019,6700,SHB,6800,6800,6700,698259
12/7/2019,6700,SHB,6900,6900,6700,2234725
11/7/2019,6800,SHB,6700,6900,6700,3212091
10/7/2019,6700,SHB,6700,6800,6700,1145355
9/7/2019,6700,SHB,6800,6800,6700,1201769
8/7/2019,6700,SHB,6800,6900,6700,767395
5/7/2019,6800,SHB,6800,6900,6700,2319169
4/7/2019,6800,SHB,6800,6900,6700,3851297
3/7/2019,6700,SHB,6700,6800,6700,923914
2/7/2019,6700,SHB,6900,6900,6700,5349350
1/7/2019,6800,SHB,6800,6900,6800,4059470
28/06/2019,6800,SHB,6800,6900,6700,3873888
27/06/2019,6800,SHB,6900,7000,6700,7044771
26/06/2019,6900,SHB,6900,7000,6900,1977082
25/06/2019,7000,SHB,7000,7000,6900,946565
24/06/2019,7000,SHB,7100,7100,6900,2293837
21/06/2019,7000,SHB,7100,7100,7000,2650738
20/06/2019,7100,SHB,6900,7100,6900,1892082
19/06/2019,7000,SHB,7000,7100,6900,2515936
18/06/2019,7000,SHB,7000,7000,6900,1269770
17/06/2019,7000,SHB,7000,7100,6900,1781275
14/06/2019,7000,SHB,6900,7100,6900,3137283
13/06/2019,7000,SHB,7000,7100,6900,2616757
12/6/2019,7000,SHB,7000,7000,6900,914748
11/6/2019,7000,SHB,7000,7100,6900,2168461
10/6/2019,7000,SHB,7000,7100,7000,889916
7/6/2019,7100,SHB,7000,7100,6900,2192184
6/6/2019,7000,SHB,7000,7000,6900,795858
5/6/2019,7000,SHB,7000,7100,6900,1871717
4/6/2019,7000,SHB,7000,7100,6900,2015189
3/6/2019,7000,SHB,7100,7100,6900,4977725
31/05/2019,7000,SHB,7200,7200,7000,1627897
30/05/2019,7200,SHB,7100,7200,7000,3612109
29/05/2019,7100,SHB,7100,7200,7000,3669477
28/05/2019,7100,SHB,7100,7200,7000,2751465
27/05/2019,7100,SHB,7100,7200,7100,2308990
24/05/2019,7100,SHB,7300,7300,7100,2495230
23/05/2019,7300,SHB,7200,7300,7200,1146944
22/05/2019,7200,SHB,7200,7400,7100,9419235
21/05/2019,7200,SHB,7300,7400,7200,3331288
20/05/2019,7300,SHB,7400,7400,7300,2016565
17/05/2019,7300,SHB,7400,7500,7300,7641525
16/05/2019,7400,SHB,7400,7500,7300,3043754
15/05/2019,7400,SHB,7400,7500,7300,3929938
14/05/2019,7300,SHB,7400,7400,7300,1391348
13/05/2019,7400,SHB,7400,7500,7300,5498529
10/5/2019,7400,SHB,7400,7400,7300,931795
9/5/2019,7400,SHB,7400,7400,7300,1431012
8/5/2019,7400,SHB,7300,7400,7200,2678366
7/5/2019,7300,SHB,7400,7500,7300,2319566
6/5/2019,7300,SHB,7400,7500,7200,8405734
3/5/2019,7400,SHB,7500,7600,7400,2207117
2/5/2019,7500,SHB,7600,7600,7400,3938332
26/04/2019,7500,SHB,6800,7600,6800,2091608
25/04/2019,7500,SHB,7500,7700,7500,2022765
24/04/2019,7500,SHB,7500,7700,7500,7729553
23/04/2019,7500,SHB,7500,7600,7400,2541541
22/04/2019,7500,SHB,7600,7600,7400,2006486
19/04/2019,7500,SHB,7500,7600,7400,2359687
18/04/2019,7400,SHB,7500,7600,7400,2975338
17/04/2019,7400,SHB,7600,7600,7400,1125252
16/04/2019,7600,SHB,7500,7600,7300,5268355
12/4/2019,7500,SHB,7500,7600,7400,1590806
11/4/2019,7600,SHB,7500,7600,7500,1650873
10/4/2019,7500,SHB,7600,7600,7400,2464239
9/4/2019,7500,SHB,7700,7700,7500,2670693
8/4/2019,7700,SHB,7500,7700,7500,2864982
5/4/2019,7500,SHB,7600,7600,7500,698791
4/4/2019,7600,SHB,7600,7600,7500,4877249
3/4/2019,7600,SHB,7600,7700,7500,701166
2/4/2019,7600,SHB,7700,7800,7500,1895038
1/4/2019,7700,SHB,7600,7700,7500,1837471
29/03/2019,7500,SHB,7600,7700,7500,1433927
28/03/2019,7600,SHB,7700,7700,7500,2475298
27/03/2019,7600,SHB,7500,7700,7500,5114273
26/03/2019,7400,SHB,7400,7600,7400,4178627
25/03/2019,7400,SHB,7600,7600,7400,8605126
22/03/2019,7700,SHB,7700,7700,7600,4204525
21/03/2019,7700,SHB,7900,7900,7700,6578268
20/03/2019,7800,SHB,7900,7900,7700,6551630
19/03/2019,7900,SHB,8000,8100,7900,9026975
18/03/2019,8000,SHB,8000,8100,7900,4357444
15/03/2019,8000,SHB,7900,8100,7900,6504595
14/03/2019,7900,SHB,7900,8100,7900,4877970
13/03/2019,7900,SHB,8100,8300,7900,15340168
12/3/2019,8100,SHB,7800,8100,7700,12186115
11/3/2019,7800,SHB,7800,7900,7700,2760603
8/3/2019,7800,SHB,7900,7900,7700,5751186
7/3/2019,7900,SHB,7600,8000,7600,18895406
6/3/2019,7600,SHB,7500,7700,7500,4924862
5/3/2019,7500,SHB,7600,7700,7500,4242228
4/3/2019,7600,SHB,7500,7700,7500,4671322
1/3/2019,7600,SHB,7400,7600,7400,3959591
28/02/2019,7400,SHB,7600,7600,7400,4771835
27/02/2019,7600,SHB,7500,7700,7500,4203700
26/02/2019,7600,SHB,7700,7700,7500,4584332
25/02/2019,7600,SHB,7600,7800,7600,4821870
22/02/2019,7600,SHB,7600,7800,7500,5760463
21/02/2019,7500,SHB,7500,7700,7500,2822196
20/02/2019,7500,SHB,7500,7700,7500,4970891
19/02/2019,7500,SHB,7700,7800,7500,7813159
18/02/2019,7700,SHB,7700,7800,7600,5593251
15/02/2019,7700,SHB,7900,7900,7700,6955297
14/02/2019,7900,SHB,7700,7900,7600,9152025
13/02/2019,7700,SHB,7700,7800,7600,6728714
12/2/2019,7700,SHB,7500,7700,7500,7180566
11/2/2019,7600,SHB,7100,7700,7100,9468726
1/2/2019,7200,SHB,7100,7200,7100,1495350
31/01/2019,7200,SHB,7100,7300,7100,3127875
30/01/2019,7200,SHB,7100,7200,7000,3354788
29/01/2019,7100,SHB,7100,7100,7000,1784661
28/01/2019,7100,SHB,7200,7200,7000,4082476
25/01/2019,7100,SHB,7200,7200,7000,2046634
24/01/2019,7100,SHB,7100,7200,7000,3546651
23/01/2019,7100,SHB,7000,7200,7000,986585
22/01/2019,7000,SHB,7200,7300,7000,2980253
21/01/2019,7200,SHB,7000,7300,7000,7800814
18/01/2019,7000,SHB,7100,7100,7000,2322572
17/01/2019,7000,SHB,7100,7100,7000,2192409
16/01/2019,7000,SHB,7100,7200,7000,1316558
15/01/2019,7100,SHB,7000,7200,6900,3934698
14/01/2019,7000,SHB,7100,7200,7000,5212044
11/1/2019,7000,SHB,7000,7100,7000,2306683
10/1/2019,7000,SHB,7200,7200,7000,3572910
9/1/2019,7200,SHB,7100,7200,7000,3395083
8/1/2019,7000,SHB,7200,7200,7000,1689051
7/1/2019,7200,SHB,7100,7200,7000,2727864
4/1/2019,7000,SHB,7000,7100,6900,3820522
3/1/2019,7000,SHB,7200,7300,6900,6882054
2/1/2019,7200,SHB,7300,7300,7100,2033485
28/12/2018,7200,SHB,7200,7400,7200,1948512
27/12/2018,7200,SHB,7300,7400,7200,4084358
26/12/2018,7200,SHB,7200,7300,7100,2579496
25/12/2018,7200,SHB,7300,7300,7100,4133300
24/12/2018,7300,SHB,7400,7500,7300,2427568
21/12/2018,7400,SHB,7600,7600,7300,3683783
20/12/2018,7500,SHB,7500,7500,7300,3526551
19/12/2018,7400,SHB,7500,7500,7300,2358695
18/12/2018,7400,SHB,7500,7500,7300,4328711
17/12/2018,7500,SHB,7500,7600,7400,4123673
14/12/2018,7500,SHB,7600,7700,7500,2268761
13/12/2018,7600,SHB,7700,7800,7600,2806180
12/12/2018,7700,SHB,6800,7700,6800,2962046
11/12/2018,7500,SHB,6800,7600,6800,3845104
10/12/2018,7500,SHB,7600,7600,7500,2532875
7/12/2018,7600,SHB,7600,7800,7600,3195203
6/12/2018,7600,SHB,7700,7800,7500,4906744
5/12/2018,7700,SHB,7600,7800,7500,4585523
4/12/2018,7600,SHB,7700,7800,7600,3635002
3/12/2018,7700,SHB,7500,7800,7500,7391281
30/11/2018,7500,SHB,7300,7500,7300,2630374
