DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,3180,SJF,2780,3180,2780,4047290
11/6/2020,2980,SJF,3060,3060,2680,10278910
10/6/2020,2860,SJF,2860,2860,2860,202070
9/6/2020,2680,SJF,2680,2680,2680,285240
8/6/2020,2510,SJF,2510,2510,2510,536690
5/6/2020,2350,SJF,2200,2350,2190,3747300
4/6/2020,2200,SJF,2130,2220,2060,2023400
3/6/2020,2100,SJF,2000,2140,1930,1705610
2/6/2020,2000,SJF,2170,2180,1970,954160
1/6/2020,2050,SJF,1990,2050,1990,2788380
29/05/2020,1920,SJF,1910,1920,1860,495860
28/05/2020,1910,SJF,1870,1910,1870,394840
27/05/2020,1870,SJF,1900,1930,1870,850270
26/05/2020,1880,SJF,1930,1930,1880,356120
25/05/2020,1910,SJF,1830,1930,1770,784300
22/05/2020,1830,SJF,1910,1910,1820,173490
21/05/2020,1860,SJF,1890,1960,1850,432540
20/05/2020,1900,SJF,1920,1940,1880,326610
19/05/2020,1950,SJF,2040,2040,1910,216480
18/05/2020,1950,SJF,1770,1950,1770,699000
15/05/2020,1830,SJF,1960,1970,1830,1562690
14/05/2020,1960,SJF,2000,2080,1960,1244460
13/05/2020,2030,SJF,1950,2100,1930,433630
12/5/2020,2000,SJF,1950,2060,1920,1005330
11/5/2020,1940,SJF,1850,1950,1840,838640
8/5/2020,1830,SJF,1850,1850,1800,595210
7/5/2020,1810,SJF,1770,1840,1770,413290
6/5/2020,1820,SJF,1810,1830,1760,985600
5/5/2020,1860,SJF,1870,1900,1800,759790
4/5/2020,1850,SJF,1800,1850,1730,2350680
29/04/2020,1730,SJF,1610,1730,1610,2260210
28/04/2020,1620,SJF,1580,1620,1550,771500
27/04/2020,1580,SJF,1550,1650,1520,900370
24/04/2020,1550,SJF,1560,1640,1550,1042560
23/04/2020,1660,SJF,1730,1750,1660,1213760
22/04/2020,1640,SJF,1630,1640,1540,1942160
21/04/2020,1540,SJF,1540,1540,1470,2832280
20/04/2020,1440,SJF,1440,1440,1440,179580
