DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,15500,SSI,14600,15500,14300,7587730
11/6/2020,14900,SSI,16000,16200,14900,9349070
10/6/2020,16000,SSI,15750,16100,15400,6544090
9/6/2020,15850,SSI,16300,16300,15800,6435790
8/6/2020,16050,SSI,16200,16200,15900,5993130
5/6/2020,15700,SSI,15700,15800,15500,5731890
4/6/2020,15700,SSI,15450,15950,15450,9360040
3/6/2020,15200,SSI,15100,15200,15000,3251400
2/6/2020,15050,SSI,15300,15350,15000,6106810
1/6/2020,15200,SSI,14900,15300,14850,4455460
29/05/2020,14800,SSI,14800,14900,14650,3573780
28/05/2020,14850,SSI,14900,15100,14800,4876490
27/05/2020,14900,SSI,15500,15550,14900,7938010
26/05/2020,15350,SSI,14700,15400,14650,8120570
25/05/2020,14550,SSI,14400,14600,14300,6022830
22/05/2020,14300,SSI,14200,14700,14100,7455010
21/05/2020,14350,SSI,14450,14500,14200,3314490
20/05/2020,14300,SSI,14250,14400,14200,2577550
19/05/2020,14300,SSI,14500,14600,14200,6873020
18/05/2020,14150,SSI,13950,14200,13850,2313840
15/05/2020,13950,SSI,14350,14450,13900,3732360
14/05/2020,14250,SSI,13850,14650,13850,5857120
13/05/2020,14050,SSI,14000,14300,13700,5490540
12/5/2020,14200,SSI,14000,14350,13800,3956090
11/5/2020,14150,SSI,13700,14150,13650,6209600
8/5/2020,13500,SSI,13200,13800,13200,7919390
7/5/2020,13200,SSI,12950,13200,12900,2332040
6/5/2020,12950,SSI,12750,13000,12700,1675700
5/5/2020,12650,SSI,12700,12900,12600,1667710
4/5/2020,12700,SSI,12900,13000,12700,2180310
29/04/2020,13000,SSI,13000,13100,12900,1454150
28/04/2020,12950,SSI,13100,13100,12800,2587110
27/04/2020,13100,SSI,13350,13350,13050,2112890
24/04/2020,13250,SSI,13250,13350,13050,1507530
23/04/2020,13300,SSI,13500,13800,13300,2594810
22/04/2020,13300,SSI,12500,13450,12500,3435210
21/04/2020,12850,SSI,13300,13450,12750,4437860
20/04/2020,13700,SSI,13650,13800,13450,3326260
17/04/2020,13600,SSI,13500,13800,13450,3936040
16/04/2020,13350,SSI,13200,13550,13100,2603060
15/04/2020,13350,SSI,13300,13450,13200,3075990
14/04/2020,13200,SSI,13050,13200,12750,3902110
13/04/2020,13150,SSI,13150,13400,13000,3573400
10/4/2020,13300,SSI,13300,13600,13000,3233820
9/4/2020,13200,SSI,13000,13200,12950,5507100
8/4/2020,14350,SSI,13900,14500,13600,4091610
7/4/2020,14150,SSI,14500,14550,14000,6377610
6/4/2020,14150,SSI,13950,14150,13800,5473010
3/4/2020,13250,SSI,12900,13250,12800,4544530
1/4/2020,12400,SSI,11600,12400,11600,3715270
31/03/2020,11600,SSI,11650,11950,11100,1680730
30/03/2020,11500,SSI,11900,11900,11500,2427550
27/03/2020,12350,SSI,13000,13050,12350,2469460
26/03/2020,12950,SSI,13200,13250,12900,1256940
25/03/2020,13350,SSI,13000,13350,12750,2376040
24/03/2020,12500,SSI,12950,13000,12200,3009990
23/03/2020,12900,SSI,13200,13400,12900,3296350
20/03/2020,13850,SSI,14000,14050,13600,2868770
19/03/2020,13700,SSI,13400,13900,13300,2568540
18/03/2020,13700,SSI,14400,14400,13600,3190370
17/03/2020,14200,SSI,13100,14200,12800,4834780
16/03/2020,13300,SSI,13500,13600,13200,2897920
13/03/2020,13300,SSI,12700,13750,12700,4484960
12/3/2020,13550,SSI,13800,14000,13500,4606030
11/3/2020,14500,SSI,15850,15850,14500,3614130
10/3/2020,15550,SSI,14900,15650,14900,3374030
9/3/2020,15550,SSI,15550,15800,15550,3576610
6/3/2020,16700,SSI,16750,16750,16450,1362870
5/3/2020,16800,SSI,16550,16950,16450,3298460
4/3/2020,16250,SSI,16000,16450,15900,2852970
3/3/2020,15950,SSI,16100,16250,15950,2088500
2/3/2020,15800,SSI,16050,16100,15750,2114140
28/02/2020,15900,SSI,16150,16200,15800,1987700
27/02/2020,16500,SSI,16000,16500,15950,1490420
26/02/2020,16100,SSI,16000,16700,15900,1038320
25/02/2020,16400,SSI,15850,16450,15850,1693240
24/02/2020,16250,SSI,17050,17150,16250,3482920
21/02/2020,17450,SSI,17600,17650,17450,1197860
20/02/2020,17600,SSI,17700,17850,17500,1664520
19/02/2020,17600,SSI,17600,17650,17450,1668460
18/02/2020,17550,SSI,17650,17700,17400,1478110
17/02/2020,17650,SSI,17800,17950,17650,1955060
14/02/2020,17800,SSI,17600,17850,17500,1102790
13/02/2020,17600,SSI,17600,17700,17550,1264660
12/2/2020,17800,SSI,17500,17800,17500,2789960
11/2/2020,17450,SSI,17550,17600,17400,1521880
10/2/2020,17550,SSI,17200,17600,16800,775620
7/2/2020,17700,SSI,17700,17950,17500,2561750
6/2/2020,17700,SSI,17000,17700,16900,2870780
5/2/2020,16950,SSI,17100,17250,16900,2164080
4/2/2020,17000,SSI,17100,17250,16800,1782240
3/2/2020,17050,SSI,16800,17100,16500,3144570
31/01/2020,17700,SSI,18100,18300,17250,4457280
30/01/2020,18500,SSI,18950,18950,18100,2412920
22/01/2020,19300,SSI,19250,19400,19150,1729500
21/01/2020,19250,SSI,19100,19450,19050,1541100
20/01/2020,19250,SSI,19250,19250,19000,1288010
17/01/2020,19250,SSI,19200,19500,19000,2832740
16/01/2020,19100,SSI,18400,19100,18400,2384770
15/01/2020,18400,SSI,18450,18450,18300,830260
14/01/2020,18400,SSI,18300,18450,18250,1066740
13/01/2020,18300,SSI,18200,18500,18200,1125380
10/1/2020,18300,SSI,18000,18350,17900,2067400
9/1/2020,17950,SSI,17950,18050,17850,1149130
8/1/2020,17750,SSI,18050,18100,17550,2622960
7/1/2020,18250,SSI,18200,18300,18150,643090
6/1/2020,18200,SSI,18150,18300,18050,1348120
3/1/2020,18250,SSI,18500,18600,18150,703890
2/1/2020,18400,SSI,18100,18400,18050,991450
31/12/2019,18050,SSI,18150,18200,18050,1060150
30/12/2019,18150,SSI,18300,18450,18100,1089430
27/12/2019,18100,SSI,18150,18250,18050,1253730
26/12/2019,18250,SSI,18150,18300,18100,712470
25/12/2019,18200,SSI,18350,18350,18150,915210
24/12/2019,18350,SSI,18300,18450,18200,879570
23/12/2019,18350,SSI,18300,18500,18300,1083840
20/12/2019,18300,SSI,18200,18450,18100,1297840
19/12/2019,18100,SSI,18400,18600,18100,992680
18/12/2019,18400,SSI,18750,18850,18400,1375490
17/12/2019,18650,SSI,19100,19150,18650,1565970
16/12/2019,19050,SSI,19200,19300,19000,826290
13/12/2019,19200,SSI,19500,19550,19200,1035860
12/12/2019,19400,SSI,19150,19400,18950,1480900
11/12/2019,19000,SSI,19150,19300,18750,1402910
10/12/2019,19200,SSI,19600,19600,19100,1237160
9/12/2019,19600,SSI,19500,19850,19450,842290
6/12/2019,19500,SSI,19650,19700,19500,606440
5/12/2019,19600,SSI,19900,20000,19600,718100
4/12/2019,19800,SSI,19350,19800,19300,1058620
3/12/2019,19300,SSI,19250,19600,19250,1208130
2/12/2019,19500,SSI,19800,19950,19500,1531820
29/11/2019,19800,SSI,19850,19950,19800,1003800
28/11/2019,19850,SSI,19900,20000,19750,1132110
27/11/2019,19850,SSI,20100,20100,19850,1816170
26/11/2019,20000,SSI,20300,20400,20000,1658300
25/11/2019,20250,SSI,20200,20300,20050,954610
22/11/2019,20100,SSI,20600,20650,20050,1895590
21/11/2019,20400,SSI,20900,20900,20400,2083430
20/11/2019,20900,SSI,21150,21150,20900,1248390
19/11/2019,21100,SSI,21000,21250,21000,904070
18/11/2019,21000,SSI,21150,21200,20950,1089630
15/11/2019,21100,SSI,21400,21450,21100,1624740
14/11/2019,21450,SSI,21600,21700,21300,1586090
13/11/2019,21650,SSI,21700,21750,21500,1294780
12/11/2019,21650,SSI,21700,21900,21650,1526400
11/11/2019,21700,SSI,22050,22050,21700,1804140
8/11/2019,22050,SSI,22250,22300,21950,2388020
7/11/2019,22050,SSI,21700,22200,21650,2939090
6/11/2019,21700,SSI,21800,21850,21650,1545130
5/11/2019,21800,SSI,21850,21950,21750,2130290
4/11/2019,21750,SSI,21600,21850,21550,3298180
1/11/2019,21500,SSI,21300,21700,21150,3104820
31/10/2019,21350,SSI,21400,21450,21000,1786810
30/10/2019,21350,SSI,21150,21400,21150,1056930
29/10/2019,21150,SSI,21250,21400,21150,1162360
28/10/2019,21250,SSI,21500,21650,21250,1507540
25/10/2019,21300,SSI,21300,21450,21250,1154870
24/10/2019,21300,SSI,20900,21300,20850,1454750
23/10/2019,20800,SSI,20850,21000,20800,736320
