DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,11800,STB,11200,11800,11000,31670570
11/6/2020,11050,STB,12150,12300,11050,38094150
10/6/2020,11500,STB,10750,11500,10600,30775990
9/6/2020,10750,STB,10750,10900,10650,14170310
8/6/2020,10700,STB,10700,10850,10650,17094920
5/6/2020,10550,STB,10700,10750,10450,16799980
4/6/2020,10600,STB,10750,10900,10600,13972710
3/6/2020,10650,STB,10600,10700,10500,8714660
2/6/2020,10500,STB,10850,10900,10500,13896530
1/6/2020,10750,STB,10400,10750,10350,18020090
29/05/2020,10300,STB,10200,10450,10200,6856490
28/05/2020,10300,STB,10100,10600,10050,16769210
27/05/2020,10100,STB,10450,10550,10000,15368550
26/05/2020,10400,STB,10300,10450,10300,9396730
25/05/2020,10250,STB,10250,10400,10100,9448390
22/05/2020,10200,STB,10300,10600,10200,14870140
21/05/2020,10500,STB,10500,10550,10250,10196270
20/05/2020,10400,STB,9900,10550,9860,24361810
19/05/2020,9900,STB,9920,10150,9860,15436660
18/05/2020,9730,STB,9780,9850,9680,9965320
15/05/2020,9800,STB,10200,10200,9800,9211120
14/05/2020,10050,STB,9880,10300,9790,12577730
13/05/2020,9960,STB,9700,10150,9550,19002960
12/5/2020,9700,STB,9690,9750,9460,11311610
11/5/2020,9690,STB,9670,9750,9540,10595020
8/5/2020,9520,STB,9400,9770,9400,15592700
7/5/2020,9340,STB,9180,9380,9170,12175430
6/5/2020,9140,STB,9000,9140,8930,8419490
5/5/2020,8970,STB,8980,9090,8930,4803310
4/5/2020,8980,STB,9100,9100,8980,4402500
29/04/2020,9100,STB,9000,9250,9000,3844890
28/04/2020,8980,STB,9080,9120,8940,7077710
27/04/2020,8990,STB,9180,9230,8990,8059440
24/04/2020,9100,STB,9150,9200,9040,4794810
23/04/2020,9150,STB,9350,9380,9150,5414960
22/04/2020,9170,STB,8730,9290,8730,8168410
21/04/2020,8990,STB,9350,9450,8970,16193310
