DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,28500,VGI,27000,28700,25000,927199
11/6/2020,28100,VGI,30500,30800,27900,1777716
10/6/2020,30500,VGI,31100,31100,30300,832126
9/6/2020,30800,VGI,31400,31600,30700,620911
8/6/2020,31400,VGI,30900,31800,30800,1480152
5/6/2020,30800,VGI,30300,30900,29900,839757
4/6/2020,30000,VGI,30300,30800,29900,781882
3/6/2020,30000,VGI,30200,30500,29800,518190
2/6/2020,30100,VGI,30700,31400,30000,867420
1/6/2020,30700,VGI,29600,31000,29600,1324718
29/05/2020,29600,VGI,29500,30300,29200,554379
28/05/2020,29600,VGI,30000,30000,29100,611263
27/05/2020,29600,VGI,30300,30800,29600,1064315
26/05/2020,30200,VGI,30000,30800,30000,652569
25/05/2020,30200,VGI,29500,30800,29400,884483
22/05/2020,29800,VGI,30000,30500,29500,827980
21/05/2020,30000,VGI,31000,31000,29700,1179667
20/05/2020,30700,VGI,28600,31100,28500,2464648
19/05/2020,28100,VGI,28600,29200,28000,771237
18/05/2020,28600,VGI,27400,29200,26700,1890350
15/05/2020,27200,VGI,27400,27700,27000,433791
14/05/2020,27200,VGI,27500,27900,27100,674808
13/05/2020,27700,VGI,27900,28400,27200,802994
12/5/2020,28000,VGI,27400,28300,27300,684087
11/5/2020,27900,VGI,27700,27900,27000,946588
8/5/2020,27500,VGI,28000,28800,27200,990365
7/5/2020,27900,VGI,26500,28000,26500,1238346
6/5/2020,26400,VGI,25300,26400,25300,550247
5/5/2020,25600,VGI,25700,25700,25200,386526
4/5/2020,25700,VGI,25000,26000,25000,189845
29/04/2020,25800,VGI,26000,26200,25500,335003
28/04/2020,25800,VGI,26100,26300,25500,512776
27/04/2020,26100,VGI,26200,27000,26000,716998
24/04/2020,26200,VGI,26000,26500,25800,608181
23/04/2020,25600,VGI,25900,26400,25500,339260
22/04/2020,25700,VGI,24300,26000,23400,696184
21/04/2020,24400,VGI,26200,26200,23900,999275
20/04/2020,26300,VGI,26400,26800,25700,676636
17/04/2020,26400,VGI,26000,27100,25900,869574
16/04/2020,26300,VGI,25900,26800,25000,569050
15/04/2020,25900,VGI,25100,27000,24800,964821
14/04/2020,25400,VGI,22500,25400,22500,1729708
13/04/2020,22300,VGI,22000,22800,21900,339021
10/4/2020,21900,VGI,22500,22600,21800,427902
9/4/2020,22500,VGI,22400,22900,22200,502330
8/4/2020,22400,VGI,22600,22600,21600,405072
7/4/2020,22600,VGI,22500,22900,21900,475502
6/4/2020,22300,VGI,21000,22500,21000,844476
3/4/2020,20800,VGI,20000,21000,20000,368110
1/4/2020,20100,VGI,19000,20300,18800,301352
31/03/2020,19400,VGI,19300,20100,18800,402292
30/03/2020,19300,VGI,19800,19800,18300,367435
27/03/2020,20000,VGI,20400,20800,19800,501318
26/03/2020,20400,VGI,21800,21800,20400,377540
25/03/2020,21800,VGI,20600,21900,20600,304287
24/03/2020,20400,VGI,18900,20600,18900,358223
23/03/2020,19000,VGI,22000,22000,18800,867234
20/03/2020,22000,VGI,21900,22400,21800,312142
19/03/2020,21800,VGI,22300,22300,21500,291156
18/03/2020,22400,VGI,22200,23300,21900,585563
17/03/2020,22100,VGI,22200,22500,20300,394236
16/03/2020,21900,VGI,21500,22500,21500,370202
13/03/2020,21800,VGI,22300,22600,19100,794095
12/3/2020,22300,VGI,21000,24500,21000,724361
11/3/2020,24500,VGI,24800,25500,23700,376541
10/3/2020,24800,VGI,23700,25300,23000,482164
9/3/2020,23700,VGI,26400,26400,23500,1119871
6/3/2020,27500,VGI,27500,27500,27000,144600
5/3/2020,27500,VGI,27300,28100,27200,417069
4/3/2020,27300,VGI,27700,27700,26700,190284
3/3/2020,27600,VGI,27500,28000,26900,275174
2/3/2020,26900,VGI,27300,27400,26100,423699
28/02/2020,27300,VGI,27900,27900,26900,421276
27/02/2020,27900,VGI,28400,29000,27000,304646
26/02/2020,27900,VGI,27800,28200,26800,318599
25/02/2020,27800,VGI,26000,27900,25400,473957
24/02/2020,26100,VGI,28700,28700,25200,923904
21/02/2020,29200,VGI,30100,30100,28800,499923
20/02/2020,30000,VGI,30000,30600,29700,644221
19/02/2020,30100,VGI,28800,30100,28400,794742
18/02/2020,28700,VGI,29500,29600,28700,377181
17/02/2020,29400,VGI,28200,29900,28200,842635
14/02/2020,28300,VGI,28300,28400,27700,461720
13/02/2020,28200,VGI,27900,28800,27400,521334
12/2/2020,27900,VGI,27900,28300,27600,667621
11/2/2020,27900,VGI,25500,27900,25500,1177234
10/2/2020,25300,VGI,25600,25800,24900,197034
7/2/2020,25600,VGI,25100,25700,25100,315457
6/2/2020,25100,VGI,25000,25400,24400,259119
5/2/2020,24600,VGI,24500,25300,24200,331826
4/2/2020,24200,VGI,23500,24300,23400,278292
3/2/2020,23600,VGI,24800,25000,22000,390590
31/01/2020,25000,VGI,25500,26300,24700,428201
30/01/2020,25500,VGI,26600,26600,24700,266284
22/01/2020,26600,VGI,26000,26700,25700,322687
21/01/2020,25800,VGI,24200,26000,24200,471337
20/01/2020,24200,VGI,24000,24500,24000,142541
17/01/2020,24100,VGI,24700,24700,23800,199909
16/01/2020,24500,VGI,24200,24800,24100,193214
15/01/2020,24200,VGI,24000,24500,23700,133639
14/01/2020,23700,VGI,23000,24100,22500,233994
13/01/2020,22700,VGI,23300,23400,22600,189796
10/1/2020,23100,VGI,23400,23700,23000,209972
9/1/2020,23200,VGI,23400,23700,22900,157146
8/1/2020,23200,VGI,24200,24300,23000,505001
7/1/2020,24500,VGI,24700,24700,24300,123995
6/1/2020,24600,VGI,24900,25000,24400,164567
3/1/2020,25000,VGI,25400,25400,24800,130709
2/1/2020,25300,VGI,25000,25300,24700,152894
31/12/2019,24700,VGI,24900,25000,24500,111587
30/12/2019,25000,VGI,25400,25400,24900,69941
27/12/2019,25000,VGI,25200,25200,24900,52998
26/12/2019,25200,VGI,24700,25600,24700,140860
25/12/2019,24600,VGI,24800,24900,24300,108970
24/12/2019,24700,VGI,25000,25100,24500,80566
23/12/2019,25000,VGI,25200,25500,24800,109578
20/12/2019,25200,VGI,25300,25300,25000,149802
19/12/2019,25200,VGI,25300,25400,24900,123641
18/12/2019,25000,VGI,25800,25800,24900,150028
17/12/2019,25700,VGI,26000,26300,25600,92912
16/12/2019,25900,VGI,26500,26500,25600,282630
13/12/2019,26500,VGI,26900,27100,26400,157592
12/12/2019,26800,VGI,26300,27300,26300,272642
11/12/2019,26300,VGI,24200,26600,24200,475330
10/12/2019,24100,VGI,24700,24700,24000,217923
9/12/2019,24800,VGI,25000,25500,24500,85675
6/12/2019,25100,VGI,25500,25500,24500,137299
5/12/2019,25000,VGI,25300,25800,25000,228683
4/12/2019,25300,VGI,24500,25300,24000,194650
3/12/2019,24400,VGI,25800,25800,24000,373217
2/12/2019,25500,VGI,26900,27000,24800,249206
29/11/2019,26900,VGI,26700,27000,26100,186560
28/11/2019,26500,VGI,27100,27400,26100,416221
27/11/2019,26900,VGI,28100,28200,26900,445750
26/11/2019,28000,VGI,28100,28400,27700,146922
25/11/2019,28000,VGI,28900,28900,27600,283098
22/11/2019,28500,VGI,29500,29600,28500,203536
21/11/2019,29400,VGI,29800,29900,29300,81023
20/11/2019,29900,VGI,29800,30200,29500,94511
19/11/2019,29800,VGI,29000,30200,29000,204342
18/11/2019,29200,VGI,29900,30000,29000,296537
15/11/2019,30000,VGI,30400,30500,29500,404316
14/11/2019,30400,VGI,31500,31600,30300,521409
13/11/2019,31400,VGI,31600,31700,31200,194418
12/11/2019,31500,VGI,31500,31600,31300,175583
11/11/2019,31500,VGI,31600,31700,31400,125957
8/11/2019,31700,VGI,31900,32100,31500,193633
7/11/2019,31800,VGI,31500,31900,31500,207359
6/11/2019,31700,VGI,31600,32400,31600,194927
5/11/2019,31700,VGI,31500,32100,31200,281573
4/11/2019,31400,VGI,32100,32500,31200,582602
1/11/2019,32100,VGI,32400,32600,31900,233461
31/10/2019,32100,VGI,32000,33100,31900,503430
30/10/2019,31900,VGI,31900,32000,31500,206061
29/10/2019,31700,VGI,32100,32300,31700,185105
28/10/2019,32100,VGI,32500,32700,32100,156499
25/10/2019,32400,VGI,33000,33000,32300,156740
24/10/2019,32700,VGI,32100,33000,31700,260325
23/10/2019,31900,VGI,31600,32300,31100,125157
22/10/2019,31600,VGI,31500,31900,31500,111770
21/10/2019,31500,VGI,32100,32100,31100,359335
18/10/2019,31900,VGI,32300,32500,31900,310980
17/10/2019,32300,VGI,32500,32500,31900,347420
16/10/2019,32600,VGI,32600,33200,32300,321992
15/10/2019,32500,VGI,33700,33700,32100,956844
14/10/2019,33400,VGI,33300,34100,33200,554845
11/10/2019,33300,VGI,33400,33700,32900,344075
10/10/2019,33400,VGI,34000,34300,33400,328517
9/10/2019,33600,VGI,32500,33800,32500,677279
8/10/2019,32300,VGI,32500,32600,31900,260760
7/10/2019,32300,VGI,32800,33000,32200,173399
4/10/2019,32800,VGI,32000,33300,31800,394930
3/10/2019,32000,VGI,32400,32400,31200,381281
2/10/2019,32400,VGI,33000,33100,32200,368430
1/10/2019,33000,VGI,33000,33600,32600,344227
30/09/2019,33100,VGI,31200,33500,31200,823613
27/09/2019,31100,VGI,31000,31600,30900,365505
26/09/2019,31000,VGI,31000,31600,30600,233628
25/09/2019,31000,VGI,30500,31300,30000,257990
24/09/2019,30500,VGI,30800,31000,30000,335930
23/09/2019,30900,VGI,31700,31800,30600,239502
20/09/2019,31600,VGI,31500,31900,31200,230529
19/09/2019,31800,VGI,31700,32000,31400,208781
18/09/2019,31800,VGI,31200,32100,31000,355005
17/09/2019,31200,VGI,31500,31500,30800,196365
16/09/2019,31500,VGI,31400,32200,30400,533890
13/09/2019,31400,VGI,32300,32300,31200,364359
12/9/2019,32000,VGI,31500,32900,31500,409150
11/9/2019,31900,VGI,28000,32400,28000,803040
10/9/2019,28200,VGI,30300,30700,27700,1075765
9/9/2019,30300,VGI,32000,32000,29800,769787
6/9/2019,32300,VGI,33500,33500,32000,404030
5/9/2019,33000,VGI,33200,34400,32800,345674
4/9/2019,33600,VGI,34200,34600,30100,1140830
3/9/2019,34300,VGI,36000,36300,34200,713589
30/08/2019,35900,VGI,36100,36700,35500,443426
29/08/2019,36100,VGI,36700,36700,35900,589621
28/08/2019,36700,VGI,37300,37700,36600,537818
27/08/2019,37300,VGI,37400,38300,37100,668374
26/08/2019,37300,VGI,36500,37700,36500,424232
23/08/2019,37700,VGI,37600,38200,37300,417963
22/08/2019,37600,VGI,36400,38400,36000,973897
21/08/2019,36200,VGI,37100,37300,35900,991248
20/08/2019,37100,VGI,37000,37600,36300,786982
19/08/2019,36900,VGI,36500,37500,36500,373078
16/08/2019,36900,VGI,36500,37800,36500,1031843
15/08/2019,37000,VGI,34500,37200,33100,1251421
14/08/2019,34300,VGI,33600,35600,33600,399588
13/08/2019,33700,VGI,35200,35200,32700,1401746
12/8/2019,35100,VGI,35400,35900,34800,627930
9/8/2019,35100,VGI,35900,36700,35100,657050
8/8/2019,35600,VGI,34700,37300,34700,810888
7/8/2019,34800,VGI,34000,36500,34000,1399815
6/8/2019,36500,VGI,36000,39700,33800,2662360
5/8/2019,36500,VGI,33100,36700,32700,1758455
2/8/2019,33100,VGI,30400,33900,30000,2078472
1/8/2019,30400,VGI,29700,30800,29600,473429
31/07/2019,29900,VGI,30200,30200,29200,553541
30/07/2019,30200,VGI,31400,31400,30100,855187
29/07/2019,31400,VGI,30800,31800,30700,595089
26/07/2019,31100,VGI,31000,31500,30200,674919
25/07/2019,30800,VGI,30800,32000,29900,1535292
24/07/2019,30700,VGI,29300,30800,29200,1306537
23/07/2019,29400,VGI,29300,29900,29000,613881
22/07/2019,29500,VGI,29000,29600,28400,845877
19/07/2019,28400,VGI,30800,31400,28000,2357317
18/07/2019,30600,VGI,29200,30700,29100,1726341
17/07/2019,29300,VGI,29400,29500,29100,521975
16/07/2019,29300,VGI,29100,30000,29100,502474
15/07/2019,29500,VGI,27700,29600,27600,1985124
12/7/2019,27800,VGI,28000,28000,27600,464462
11/7/2019,27800,VGI,28400,28400,27800,491356
10/7/2019,28200,VGI,27600,28400,27600,646329
9/7/2019,27800,VGI,27000,27900,27000,839310
8/7/2019,27000,VGI,27000,27500,26800,203920
5/7/2019,27400,VGI,27400,27600,27100,283910
4/7/2019,27300,VGI,26500,27400,26400,634499
3/7/2019,26500,VGI,27000,27100,26500,346000
2/7/2019,27000,VGI,26900,27400,26800,283140
1/7/2019,26900,VGI,27400,27900,26300,1071222
28/06/2019,27200,VGI,27800,27900,26600,785193
27/06/2019,27900,VGI,28300,28300,27700,265351
26/06/2019,28300,VGI,27700,28800,27500,441955
25/06/2019,27900,VGI,28000,28200,27700,248333
24/06/2019,27900,VGI,27700,28500,27700,353692
21/06/2019,28000,VGI,28000,28300,27600,624915
20/06/2019,28000,VGI,28500,29000,27800,796424
19/06/2019,28500,VGI,28900,29200,28400,360326
18/06/2019,28700,VGI,28000,28900,28000,841345
17/06/2019,28200,VGI,27400,28400,27400,631330
14/06/2019,27400,VGI,27800,27900,27100,240360
13/06/2019,27400,VGI,27000,27500,26800,464621
12/6/2019,27200,VGI,28000,28000,26900,800938
11/6/2019,27900,VGI,27700,28300,27600,446253
10/6/2019,27800,VGI,28100,28700,27700,495611
7/6/2019,28100,VGI,27000,28200,26800,1055550
6/6/2019,27000,VGI,26500,27400,26400,364351
5/6/2019,26600,VGI,26900,27400,26500,360985
4/6/2019,26700,VGI,26300,27200,26300,352617
3/6/2019,26600,VGI,26000,27300,25500,571162
31/05/2019,26200,VGI,27000,27300,25800,1125293
30/05/2019,27200,VGI,27200,28100,27000,966648
29/05/2019,27800,VGI,29200,29900,27700,1805194
28/05/2019,29200,VGI,28000,29500,28000,1437113
27/05/2019,28000,VGI,27000,28400,26600,837225
24/05/2019,26900,VGI,26500,27700,26500,1255177
23/05/2019,26500,VGI,26100,26500,25800,589081
22/05/2019,26300,VGI,26500,26700,26200,325745
21/05/2019,26500,VGI,25100,27200,25100,1308001
20/05/2019,25300,VGI,25400,25500,24700,660092
17/05/2019,25200,VGI,25300,25900,25200,390876
16/05/2019,25200,VGI,25800,25900,25100,468746
15/05/2019,25700,VGI,25700,26300,25300,695329
14/05/2019,25700,VGI,25000,25900,24500,688607
13/05/2019,25200,VGI,23900,25500,23900,890131
10/5/2019,24000,VGI,24100,24300,23600,376409
9/5/2019,24100,VGI,24000,24900,23900,627992
8/5/2019,24100,VGI,22800,24200,22300,989539
7/5/2019,22600,VGI,22000,22600,22000,169620
6/5/2019,21900,VGI,22600,22800,21900,337100
3/5/2019,22500,VGI,23000,23000,22300,178030
2/5/2019,22800,VGI,23100,23300,22800,142590
26/04/2019,23400,VGI,23200,23600,22900,399900
25/04/2019,23300,VGI,22300,23800,22000,340265
24/04/2019,22200,VGI,22000,22400,21700,160506
23/04/2019,21700,VGI,22100,22300,21300,389560
22/04/2019,22100,VGI,23000,23000,22000,202920
19/04/2019,22500,VGI,22300,23200,22100,151750
18/04/2019,22300,VGI,23000,25000,22100,360646
17/04/2019,23000,VGI,23800,23900,22900,288133
16/04/2019,23400,VGI,23800,23800,22800,318649
12/4/2019,23700,VGI,24000,24200,23600,247213
11/4/2019,24000,VGI,24000,24300,23600,222328
10/4/2019,23900,VGI,24000,24500,23400,463541
9/4/2019,24100,VGI,25000,25100,24000,377035
8/4/2019,24800,VGI,25000,25500,24400,334030
5/4/2019,25000,VGI,25000,25300,24800,207942
4/4/2019,25200,VGI,25000,25800,24800,410964
3/4/2019,25000,VGI,24000,25400,23800,674310
2/4/2019,24500,VGI,25000,25300,24100,383677
1/4/2019,24900,VGI,23600,25900,23600,691691
29/03/2019,23500,VGI,23000,24500,22800,570233
28/03/2019,22900,VGI,23700,23700,22600,350550
27/03/2019,23700,VGI,22400,24000,22400,398910
26/03/2019,21900,VGI,23500,24000,21200,743097
25/03/2019,22600,VGI,25000,25000,21400,1279860
22/03/2019,25400,VGI,25800,26000,24500,561410
21/03/2019,26000,VGI,25700,26900,25500,471385
20/03/2019,25900,VGI,25500,26000,24700,840211
19/03/2019,25400,VGI,27600,27900,24100,1588870
18/03/2019,27600,VGI,25500,28000,25400,995911
15/03/2019,25400,VGI,24800,25800,24500,654980
14/03/2019,24700,VGI,22900,24800,22800,1324625
13/03/2019,22900,VGI,23300,23300,22600,512940
12/3/2019,23300,VGI,23200,23600,22800,460973
11/3/2019,23400,VGI,23000,24000,22900,695448
8/3/2019,23300,VGI,22000,23300,21700,764580
7/3/2019,21900,VGI,21300,22400,21300,508113
6/3/2019,21600,VGI,21700,21800,20900,792655
5/3/2019,22000,VGI,23200,23200,21500,496660
4/3/2019,23000,VGI,22000,23800,22000,643318
1/3/2019,21900,VGI,19100,21900,18700,1469960
28/02/2019,19000,VGI,19000,19600,18800,444292
27/02/2019,18400,VGI,18100,18900,18100,174130
26/02/2019,18000,VGI,18500,18600,17700,364845
25/02/2019,18600,VGI,19000,19100,18400,238725
22/02/2019,19000,VGI,19000,19200,18800,236675
21/02/2019,19000,VGI,18700,19400,18500,439443
20/02/2019,18900,VGI,19000,19100,18400,244976
19/02/2019,18900,VGI,19400,19700,18600,330035
18/02/2019,19400,VGI,18500,20000,18500,641770
15/02/2019,18300,VGI,18700,18800,17700,197560
14/02/2019,18700,VGI,18000,18800,18000,348125
13/02/2019,18100,VGI,16600,18300,16600,584780
12/2/2019,16600,VGI,17000,17000,16300,190780
11/2/2019,17000,VGI,16500,17200,16500,278917
1/2/2019,16300,VGI,15200,16600,15000,372466
31/01/2019,15400,VGI,15100,15500,15100,59729
30/01/2019,15200,VGI,14700,15200,14600,58010
29/01/2019,14800,VGI,14700,15000,14600,37420
28/01/2019,14800,VGI,15000,15100,14700,65045
