DATE,OPEN,HIGH,LOW,CLOSING PRICE,VOLUME
6/12/2020,90000,92500,89900,91800,875940
6/11/2020,95600,96200,93000,93000,761540
6/10/2020,96200,96200,95400,95600,488490
6/9/2020,97000,97000,96100,96200,318400
6/8/2020,95200,97600,95200,96000,482180
6/5/2020,96000,96200,95000,95000,525870
6/4/2020,96800,96800,96000,96000,6515160
6/3/2020,96500,96800,95500,96800,466430
6/2/2020,97200,97200,96500,96700,501700
6/1/2020,97000,97200,96500,97200,581490
5/29/2020,97000,97500,96600,97000,493500
5/28/2020,96900,97500,96300,97000,353590
5/27/2020,96900,97900,96500,96900,2181780
5/26/2020,97000,97500,96400,96900,360000
5/25/2020,96200,97100,96000,97100,4216400
5/22/2020,98000,98000,96400,96400,292930
5/21/2020,97000,98000,96900,98000,974410
5/20/2020,96400,97000,96100,96600,254730
5/19/2020,97100,97400,96000,96500,14729850
5/18/2020,97000,97000,95500,96500,761440
5/15/2020,96000,97500,95800,97000,1127030
5/14/2020,95000,96700,93900,96000,1702810
5/13/2020,95100,96000,91500,95000,2652530
5/12/2020,97400,97400,95000,97000,853030
5/11/2020,98000,98000,95900,97500,2893920
5/8/2020,96400,100000,96100,97500,1928960
5/7/2020,95000,96000,94000,96000,617800
5/6/2020,92600,95000,92500,95000,773570
5/5/2020,91800,93000,91800,92700,274700
5/4/2020,91900,92500,90000,91800,259550
4/29/2020,93000,93400,90500,91900,314400
4/28/2020,92500,92900,91500,92000,272920
4/27/2020,95000,95000,92000,92000,453720
4/24/2020,93000,93900,92400,93000,300240
4/23/2020,93000,94900,92700,93000,347420
4/22/2020,92000,92800,90500,92500,884070
4/21/2020,95500,95500,92500,93000,892270
4/20/2020,96100,96400,94900,96200,1055020
4/17/2020,95300,96100,89200,96100,1191510
4/16/2020,96000,96000,94700,95900,845580
4/15/2020,95600,96000,94900,96000,2743850
4/14/2020,96500,96500,94500,95600,731630
4/13/2020,95800,96000,94900,96000,3038550
4/10/2020,96000,96800,93700,95000,1232120
4/9/2020,94200,97300,93800,96000,1560610
4/8/2020,97000,97000,94000,94000,1010120
4/7/2020,97600,100900,93000,97300,2855700
4/6/2020,92000,97300,91300,97300,2698260
4/3/2020,86000,91000,86000,91000,1284500
4/1/2020,82500,87000,81000,86000,733820
3/31/2020,81400,87000,80400,83400,1563450
3/30/2020,80800,82000,80800,81400,1184510
3/27/2020,82000,87400,79500,86800,1207310
3/26/2020,77600,81800,75600,81800,1517250
3/25/2020,71500,76500,68000,76500,5987570
3/24/2020,71800,75000,71500,71500,3062155
3/23/2020,78000,78300,76800,76800,1576810
3/20/2020,88700,88700,82500,82500,2010640
3/19/2020,86900,88700,83100,88700,1980180
3/18/2020,87900,90000,86500,89000,785390
3/17/2020,89500,92300,87600,88500,722330
