DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,113400,VJC,112000,113400,109300,657920
11/6/2020,113500,VJC,117800,117900,113500,697580
10/6/2020,117800,VJC,117900,118400,117400,544330
9/6/2020,117800,VJC,116800,118800,116000,727700
8/6/2020,115000,VJC,114300,115600,114300,688020
5/6/2020,114300,VJC,114100,114300,113600,368780
4/6/2020,114300,VJC,113900,114300,113800,687650
3/6/2020,113800,VJC,114700,114700,113700,311360
2/6/2020,114700,VJC,113300,115500,113200,593950
1/6/2020,113300,VJC,113000,114000,112900,406510
29/05/2020,113000,VJC,113300,113300,112900,449840
28/05/2020,113300,VJC,113000,114200,113000,436060
27/05/2020,113000,VJC,113000,115200,113000,496870
26/05/2020,113000,VJC,113000,113300,112400,464120
25/05/2020,113100,VJC,114000,114000,113100,331260
22/05/2020,114000,VJC,114800,114800,113000,397860
21/05/2020,115000,VJC,113700,115000,113600,452160
20/05/2020,113700,VJC,114500,114500,113500,290200
19/05/2020,114900,VJC,115000,116000,114500,565860
18/05/2020,114000,VJC,114000,114200,113100,403230
15/05/2020,114000,VJC,114000,114500,113800,396390
14/05/2020,114000,VJC,114800,114800,112800,529830
13/05/2020,114900,VJC,117000,117000,109200,709770
12/5/2020,117400,VJC,118600,118600,116600,448580
11/5/2020,118600,VJC,119300,119300,117600,404180
8/5/2020,120000,VJC,115200,123200,115100,922100
7/5/2020,115200,VJC,112200,115200,112200,413820
6/5/2020,112100,VJC,111800,112500,111700,411930
5/5/2020,111500,VJC,114200,114300,111200,257530
4/5/2020,114300,VJC,115500,116000,113900,265270
29/04/2020,115500,VJC,112900,116500,112100,500000
28/04/2020,112900,VJC,113000,113500,112200,211570
27/04/2020,113500,VJC,115200,115200,113000,279920
24/04/2020,115200,VJC,116500,116500,114700,220300
23/04/2020,116400,VJC,115500,117300,115500,417880
22/04/2020,115100,VJC,114700,115500,113800,422410
21/04/2020,115000,VJC,116500,116500,113000,270040
20/04/2020,117200,VJC,117600,117600,116500,380240
17/04/2020,117400,VJC,116000,118000,116000,391890
16/04/2020,116000,VJC,111000,116000,110600,304040
15/04/2020,110800,VJC,111800,112200,106000,244450
14/04/2020,112800,VJC,114500,114500,109500,300930
13/04/2020,115700,VJC,113000,116700,112000,241950
10/4/2020,109100,VJC,102000,109100,102000,268880
9/4/2020,102000,VJC,99000,103000,98600,359760
8/4/2020,99000,VJC,98500,99000,97500,272420
7/4/2020,99000,VJC,100000,100000,97200,264000
6/4/2020,99900,VJC,99900,100200,99000,466290
3/4/2020,99900,VJC,99200,101400,99000,377340
1/4/2020,99200,VJC,97200,99200,97000,250950
31/03/2020,97200,VJC,96500,98900,96000,153980
30/03/2020,96500,VJC,94000,96500,93200,131550
27/03/2020,96900,VJC,96500,96900,94200,222210
26/03/2020,97000,VJC,97100,97100,94600,208360
25/03/2020,97100,VJC,98000,99500,96600,310640
24/03/2020,96500,VJC,94800,98000,94600,331440
23/03/2020,95800,VJC,100000,100000,95800,400260
20/03/2020,103000,VJC,98000,103000,97400,467800
19/03/2020,98000,VJC,99200,100000,95100,540170
18/03/2020,101400,VJC,101700,102000,98000,383680
17/03/2020,101700,VJC,98000,101700,97700,439950
16/03/2020,100000,VJC,99300,100000,96000,397240
13/03/2020,101000,VJC,99500,101000,94000,488260
12/3/2020,101000,VJC,105500,106000,99100,791610
11/3/2020,106500,VJC,114500,114500,106500,683340
10/3/2020,114500,VJC,109000,114500,107800,346960
9/3/2020,113500,VJC,119000,119000,112100,340670
6/3/2020,120500,VJC,122900,122900,119900,299570
5/3/2020,123000,VJC,121500,123900,121400,413440
4/3/2020,121300,VJC,120800,128700,119900,401940
3/3/2020,120800,VJC,120500,121900,120300,335300
2/3/2020,120800,VJC,121000,121000,119400,339750
28/02/2020,121900,VJC,122000,122700,121800,305420
27/02/2020,122800,VJC,125000,125000,122700,243980
26/02/2020,125000,VJC,125500,125600,124800,388100
25/02/2020,127000,VJC,127800,127800,125200,247200
24/02/2020,128000,VJC,128400,128500,127300,306570
21/02/2020,128600,VJC,128500,128800,128400,371740
20/02/2020,128500,VJC,128400,128700,128000,257700
19/02/2020,128400,VJC,128700,128700,128300,377580
18/02/2020,128700,VJC,128800,128800,128400,347240
17/02/2020,128700,VJC,128500,128900,128500,324750
14/02/2020,128600,VJC,129200,129200,128400,280880
13/02/2020,129200,VJC,128900,129200,128400,362740
12/2/2020,129200,VJC,129100,129200,128400,372700
11/2/2020,129000,VJC,129000,129100,128300,345280
10/2/2020,129000,VJC,131000,131000,128800,269590
7/2/2020,131200,VJC,127600,131900,127400,502280
