DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,118000,VNM,118000,119800,114600,2394330
11/6/2020,122300,VNM,123000,125000,121000,1098260
10/6/2020,123000,VNM,126000,126000,122800,1242180
9/6/2020,125000,VNM,123100,126000,123100,1704320
8/6/2020,122800,VNM,119200,123400,119100,1419750
5/6/2020,119200,VNM,117800,119200,116700,1076470
4/6/2020,117800,VNM,117000,117900,117000,735420
3/6/2020,116600,VNM,116200,118100,115600,1322080
2/6/2020,116000,VNM,116100,117000,115700,891910
1/6/2020,116100,VNM,115100,117000,115100,1047020
29/05/2020,115000,VNM,113500,115200,113500,1203680
28/05/2020,114800,VNM,115000,116000,114800,1004500
27/05/2020,115000,VNM,117700,117800,115000,1108350
26/05/2020,117600,VNM,118000,118000,115200,983170
25/05/2020,117600,VNM,114500,117600,114100,1581860
22/05/2020,114400,VNM,114400,114800,113500,1083060
21/05/2020,115000,VNM,114000,115000,113500,1582090
20/05/2020,114000,VNM,112500,114400,112500,1199680
19/05/2020,112600,VNM,113800,114400,112300,1432400
18/05/2020,111100,VNM,110800,111800,109000,898370
15/05/2020,110800,VNM,113000,113500,109400,2320230
14/05/2020,113000,VNM,112600,113900,112500,1397750
13/05/2020,113700,VNM,113200,115000,110000,2507730
12/5/2020,113900,VNM,108500,114400,107400,2944650
11/5/2020,108500,VNM,105000,108500,104700,1792200
8/5/2020,105000,VNM,104500,107600,104000,3184170
7/5/2020,103400,VNM,101600,103800,101500,1583260
6/5/2020,101500,VNM,100700,101500,99700,1105020
5/5/2020,100500,VNM,98800,100900,98000,1163800
4/5/2020,97600,VNM,97000,99000,97000,1235970
29/04/2020,99000,VNM,99500,99900,99000,1769090
28/04/2020,100500,VNM,102800,103000,99700,1401520
27/04/2020,102800,VNM,106500,106500,102800,1950560
24/04/2020,102800,VNM,99300,102800,97500,3624460
23/04/2020,96100,VNM,98600,98600,95900,1443180
22/04/2020,97500,VNM,96100,97600,95800,1085950
21/04/2020,96800,VNM,100000,100000,95800,2129360
20/04/2020,100000,VNM,100000,101200,100000,1471680
17/04/2020,99300,VNM,100000,100100,99000,1767310
16/04/2020,99300,VNM,99300,99500,98900,1155660
15/04/2020,99200,VNM,99700,99700,99200,886130
14/04/2020,99000,VNM,99500,99700,98700,1059560
13/04/2020,99100,VNM,99600,99800,98300,1127670
10/4/2020,99600,VNM,100000,100000,98100,1111470
9/4/2020,100100,VNM,99900,100900,99200,1220550
8/4/2020,99000,VNM,98000,99000,96500,904920
7/4/2020,98500,VNM,96500,99000,95800,2273090
6/4/2020,96200,VNM,96500,96600,95000,1840550
3/4/2020,95000,VNM,94500,95500,94000,1934430
1/4/2020,94000,VNM,91000,94000,91000,1155730
31/03/2020,91000,VNM,92500,93400,90000,1293290
30/03/2020,91200,VNM,90000,92500,89000,1559900
27/03/2020,94100,VNM,93000,95300,92000,2755950
26/03/2020,94000,VNM,92300,95000,88800,2556450
25/03/2020,92000,VNM,90600,92100,90100,2993020
24/03/2020,86100,VNM,83700,88300,83700,1739530
