DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,23100,VPB,22100,23300,22100,6053520
11/6/2020,23100,VPB,24300,24300,23100,7897200
10/6/2020,24150,VPB,24000,24500,23500,5601590
9/6/2020,24100,VPB,24450,24450,24000,4906760
8/6/2020,24450,VPB,24850,25000,24400,8059810
5/6/2020,24500,VPB,23900,24500,23800,5507250
4/6/2020,24000,VPB,24500,24600,23950,5967540
3/6/2020,24300,VPB,24150,24400,23950,3922100
2/6/2020,24100,VPB,24850,24850,23950,5977010
1/6/2020,24550,VPB,23750,24550,23400,8948760
29/05/2020,23350,VPB,23100,23400,22950,3696450
28/05/2020,23100,VPB,23100,23500,22750,6455000
27/05/2020,23000,VPB,24300,24450,23000,7919070
26/05/2020,24150,VPB,24300,24750,24050,5056700
25/05/2020,24000,VPB,24000,24250,23600,5174030
22/05/2020,24150,VPB,24700,24750,24100,4840870
21/05/2020,24700,VPB,24500,24750,24150,6693720
20/05/2020,24600,VPB,24500,24900,24450,4798130
19/05/2020,25000,VPB,26000,26000,24950,7262590
18/05/2020,25100,VPB,23800,25100,23650,11745840
15/05/2020,23850,VPB,23750,23950,23450,5062250
14/05/2020,23650,VPB,23700,23900,23350,5055950
13/05/2020,23900,VPB,23700,24200,23050,7305760
12/5/2020,24050,VPB,24200,24200,23350,6834010
11/5/2020,24100,VPB,23200,24150,23200,8508370
8/5/2020,22800,VPB,21500,22850,21500,14723540
7/5/2020,21400,VPB,20800,21400,20800,3376550
6/5/2020,20850,VPB,20350,20850,20300,2650480
5/5/2020,20350,VPB,20250,20450,20000,2323990
4/5/2020,20050,VPB,19550,20400,19500,3624730
29/04/2020,20500,VPB,21000,21100,20500,4670320
28/04/2020,21000,VPB,20900,21400,20500,2453910
27/04/2020,21000,VPB,21900,21900,20950,8928000
24/04/2020,20500,VPB,19900,20500,19550,3362450
23/04/2020,19900,VPB,20700,20700,19900,3739790
22/04/2020,20200,VPB,19000,20850,19000,5779550
21/04/2020,19550,VPB,20500,20900,19550,5653730
20/04/2020,21000,VPB,21700,21700,20800,3363240
17/04/2020,21450,VPB,22000,22200,21150,5009510
16/04/2020,21750,VPB,21050,21750,21000,3778190
15/04/2020,21750,VPB,21750,22600,21500,4994760
14/04/2020,21300,VPB,21100,21300,20200,8107960
13/04/2020,19950,VPB,19050,19950,19000,4611900
10/4/2020,18650,VPB,18600,18800,18200,3400010
9/4/2020,18800,VPB,18900,19300,18750,5977360
8/4/2020,18900,VPB,19000,19150,18600,3738500
7/4/2020,19450,VPB,19000,19450,18650,4306110
6/4/2020,18750,VPB,18000,18750,17900,5262310
3/4/2020,17550,VPB,17250,17850,17200,3237360
1/4/2020,17250,VPB,16950,17500,16000,3686810
31/03/2020,16950,VPB,18200,18450,16950,4500760
30/03/2020,18200,VPB,18200,18400,18200,853200
27/03/2020,19550,VPB,19600,19650,18800,4778990
26/03/2020,19600,VPB,20000,20150,19400,3019180
25/03/2020,20300,VPB,20400,20500,19700,2774030
24/03/2020,19500,VPB,19600,20150,18600,5084480
23/03/2020,19600,VPB,20200,20200,19600,3494590
20/03/2020,21050,VPB,20800,21350,20600,2835760
19/03/2020,20800,VPB,21000,21000,20100,3825580
18/03/2020,21550,VPB,21500,21850,20900,3264600
17/03/2020,21500,VPB,19600,21700,19500,6240600
16/03/2020,20950,VPB,22200,22250,20950,5035890
13/03/2020,22500,VPB,21000,23050,21000,5358840
12/3/2020,22550,VPB,22600,23300,22550,3085820
11/3/2020,24200,VPB,26000,26400,24200,6458650
10/3/2020,26000,VPB,25600,26500,24550,4663130
9/3/2020,25600,VPB,25600,26250,25600,3853010
6/3/2020,27500,VPB,27400,27700,27200,2153680
5/3/2020,27850,VPB,27500,28450,27200,4983410
4/3/2020,27150,VPB,26950,27300,26550,2990200
3/3/2020,27150,VPB,27500,27600,27100,2436430
2/3/2020,26900,VPB,27100,27300,26800,3124310
28/02/2020,27200,VPB,27750,27950,26800,4992410
27/02/2020,28350,VPB,28000,28550,27850,2905090
26/02/2020,28300,VPB,27800,28900,27700,4144870
25/02/2020,28300,VPB,26200,28300,26200,6045630
24/02/2020,26800,VPB,28000,28300,26800,8083080
21/02/2020,28800,VPB,28500,29300,28200,4755490
20/02/2020,28550,VPB,28150,28550,27950,3989640
19/02/2020,27800,VPB,27600,27900,27500,3026480
18/02/2020,27400,VPB,27000,27600,26900,2659640
17/02/2020,27100,VPB,27100,27300,26750,2799180
14/02/2020,27150,VPB,27000,27500,26600,5754040
13/02/2020,26600,VPB,25650,26600,25350,3721290
12/2/2020,25850,VPB,25900,26850,25700,6169610
