DATE,CLOSING PRICE,TICKER,OPEN,HIGH,LOW,VOLUME
12/6/2020,9300,VTC,9300,9300,9300,200
11/6/2020,9300,VTC,9300,9300,9300,230
10/6/2020,9300,VTC,9300,9300,9300,74
9/6/2020,9300,VTC,9300,9300,9300,1114
8/6/2020,9200,VTC,9500,9500,9200,5632
5/6/2020,9000,VTC,9000,9000,9000,0
4/6/2020,9000,VTC,9000,9000,9000,100
3/6/2020,9000,VTC,9000,9000,9000,153
2/6/2020,10000,VTC,10000,10000,10000,84
1/6/2020,10000,VTC,10000,10000,10000,500
29/05/2020,10000,VTC,10000,10000,10000,1
28/05/2020,10000,VTC,10000,10000,10000,0
27/05/2020,10000,VTC,10000,10000,10000,0
26/05/2020,10000,VTC,10000,10000,10000,0
25/05/2020,10000,VTC,10000,10000,10000,1018
22/05/2020,10000,VTC,10000,10000,10000,100
21/05/2020,10000,VTC,10000,10000,10000,0
20/05/2020,10000,VTC,9900,10000,9900,1217
19/05/2020,9500,VTC,9000,9500,9000,852
18/05/2020,9500,VTC,9500,9500,9500,20
15/05/2020,9500,VTC,9500,9500,9500,0
14/05/2020,9500,VTC,9500,9500,9500,436
13/05/2020,10000,VTC,9000,10000,9000,2502
12/5/2020,10000,VTC,9000,10000,9000,4210
11/5/2020,10000,VTC,10000,10000,10000,1
8/5/2020,10000,VTC,9500,10000,9500,2960
7/5/2020,10000,VTC,10000,10000,10000,410
6/5/2020,9100,VTC,9100,9100,9100,0
5/5/2020,9100,VTC,8400,9100,8400,3024
4/5/2020,8400,VTC,8400,8400,8400,136
29/04/2020,9100,VTC,9100,9600,9100,300
28/04/2020,9700,VTC,9700,9700,9700,0
27/04/2020,9700,VTC,9700,9700,9700,0
24/04/2020,9700,VTC,9700,9700,9700,1180
23/04/2020,8900,VTC,8900,8900,8900,0
22/04/2020,8900,VTC,9500,9500,8900,2800
21/04/2020,9500,VTC,9500,9500,9500,18600
20/04/2020,9300,VTC,9300,9300,9300,0
17/04/2020,9300,VTC,9900,9900,8600,8413
16/04/2020,9500,VTC,9500,9500,9500,0
15/04/2020,9500,VTC,9500,9500,9500,0
14/04/2020,9500,VTC,9500,9500,9500,3100
13/04/2020,9500,VTC,9900,9900,9500,6000
10/4/2020,10100,VTC,10100,10100,10100,1000
9/4/2020,10100,VTC,10100,10100,10100,20
8/4/2020,10100,VTC,10100,10100,10100,40
7/4/2020,10100,VTC,10100,10100,10100,1
6/4/2020,10100,VTC,10100,10100,10100,0
3/4/2020,10100,VTC,10100,10100,10100,109
1/4/2020,9300,VTC,9300,9300,9300,0
31/03/2020,9300,VTC,9300,9300,7800,700
30/03/2020,8500,VTC,8500,8500,8500,600
27/03/2020,9300,VTC,9300,9300,9300,0
26/03/2020,9300,VTC,9300,9300,9300,102
25/03/2020,10300,VTC,9600,10300,9600,3000
24/03/2020,10300,VTC,8700,10300,8700,700
23/03/2020,9500,VTC,8700,9500,8700,666
20/03/2020,8700,VTC,9500,9500,8700,4602
19/03/2020,9500,VTC,9500,9500,9500,0
18/03/2020,9500,VTC,9500,9500,9500,400
17/03/2020,10500,VTC,10500,10500,10500,100
16/03/2020,9700,VTC,9900,9900,9700,3200
13/03/2020,9000,VTC,9000,9000,9000,613
12/3/2020,9000,VTC,9000,9000,9000,10500
11/3/2020,8800,VTC,8900,8900,8800,1000
10/3/2020,9700,VTC,10000,10000,9700,9001
9/3/2020,10700,VTC,11700,11700,10700,1100
6/3/2020,11700,VTC,10700,11700,10700,21264
5/3/2020,10700,VTC,10700,10700,10700,50
4/3/2020,10700,VTC,10700,10700,10700,2900
3/3/2020,10700,VTC,10700,10700,10700,1010
2/3/2020,10800,VTC,10800,10800,10800,925
28/02/2020,10800,VTC,10800,10800,10800,0
27/02/2020,10800,VTC,10800,10800,10800,4750
26/02/2020,9900,VTC,9900,9900,9900,25
25/02/2020,9900,VTC,9900,9900,9900,201
24/02/2020,11000,VTC,10200,11000,10200,10900
21/02/2020,10000,VTC,10000,10000,10000,3200
20/02/2020,10600,VTC,10600,10600,10600,0
19/02/2020,10600,VTC,10300,10600,10300,1900
18/02/2020,9700,VTC,9600,9700,9600,2400
17/02/2020,9700,VTC,9500,10900,9500,4800
14/02/2020,10500,VTC,10500,10500,10500,0
13/02/2020,10500,VTC,10500,10500,10500,0
12/2/2020,10500,VTC,10500,10500,10500,1316
11/2/2020,9600,VTC,9600,9600,9600,0
10/2/2020,9600,VTC,9600,9600,9600,1176
7/2/2020,9600,VTC,9600,9600,9600,1200
6/2/2020,10600,VTC,10600,10600,10600,10
5/2/2020,10600,VTC,10600,10600,10600,0
4/2/2020,10600,VTC,11400,11400,10600,3101
3/2/2020,10500,VTC,10500,10500,10500,0
31/01/2020,10500,VTC,10500,10500,10500,0
30/01/2020,10500,VTC,10200,10800,10200,13800
22/01/2020,10200,VTC,10200,10200,10200,902
21/01/2020,10100,VTC,10100,10100,10100,0
20/01/2020,10100,VTC,10100,10100,10100,5400
17/01/2020,10100,VTC,10100,10100,10100,0
16/01/2020,10100,VTC,10100,10100,10100,0
15/01/2020,10100,VTC,10100,10100,10100,28000
14/01/2020,10100,VTC,9300,10100,9000,14200
13/01/2020,9200,VTC,8700,9200,8700,4400
10/1/2020,8400,VTC,8000,8400,8000,1000
9/1/2020,7700,VTC,7500,8000,7500,3000
8/1/2020,7300,VTC,7000,7300,7000,14700
7/1/2020,6700,VTC,6700,6700,6700,5100
6/1/2020,6100,VTC,5700,6100,5700,1279
3/1/2020,6000,VTC,6600,6600,6000,13253
2/1/2020,6000,VTC,6000,6000,6000,589
31/12/2019,5500,VTC,5500,5500,5500,381
30/12/2019,5900,VTC,5900,5900,5900,0
27/12/2019,5900,VTC,5900,5900,5900,0
26/12/2019,5900,VTC,5900,5900,5900,0
25/12/2019,5900,VTC,5900,5900,5900,0
24/12/2019,5900,VTC,5900,5900,5900,0
23/12/2019,5900,VTC,5900,5900,5900,0
20/12/2019,5900,VTC,5900,5900,5900,0
19/12/2019,5900,VTC,5900,5900,5900,0
18/12/2019,5900,VTC,5900,5900,5900,0
17/12/2019,5900,VTC,5900,5900,5900,200
16/12/2019,6100,VTC,6100,6100,6100,0
13/12/2019,6100,VTC,6100,6100,6100,0
12/12/2019,6100,VTC,6100,6100,6100,44
11/12/2019,6100,VTC,6100,6100,6100,103
10/12/2019,6000,VTC,6000,6000,6000,0
9/12/2019,6000,VTC,6000,6000,6000,3000
6/12/2019,5600,VTC,5600,5600,5600,200
5/12/2019,6000,VTC,6000,6000,6000,0
4/12/2019,6000,VTC,6000,6000,6000,0
3/12/2019,6000,VTC,6000,6000,6000,0
2/12/2019,6000,VTC,6000,6000,6000,172
29/11/2019,6100,VTC,6100,6100,6100,200
28/11/2019,6200,VTC,6200,6200,6200,0
27/11/2019,6200,VTC,6200,6200,6200,0
26/11/2019,6200,VTC,6200,6200,6200,1000
25/11/2019,6200,VTC,6200,6200,6200,250
22/11/2019,6000,VTC,6000,6000,6000,1200
21/11/2019,6300,VTC,6300,6300,6300,0
20/11/2019,6300,VTC,6300,6300,6300,100
19/11/2019,6000,VTC,6000,6000,6000,0
18/11/2019,6000,VTC,6000,6000,6000,300
15/11/2019,6400,VTC,6400,6400,6400,200
14/11/2019,6000,VTC,6000,6000,6000,0
13/11/2019,6000,VTC,5600,6000,5600,271
12/11/2019,6000,VTC,6000,6000,6000,2700
11/11/2019,5900,VTC,5900,5900,5900,1000
8/11/2019,6000,VTC,5700,6000,5700,1224
7/11/2019,5700,VTC,6000,6000,5700,1600
6/11/2019,5700,VTC,6000,6000,5700,1200
5/11/2019,6000,VTC,6000,6000,6000,100
4/11/2019,5800,VTC,5800,5800,5800,100
1/11/2019,5800,VTC,5800,5800,5800,200
31/10/2019,5600,VTC,6100,6100,5400,2213
30/10/2019,5700,VTC,6000,6000,5700,5100
29/10/2019,6000,VTC,6000,6000,6000,500
28/10/2019,6400,VTC,6400,6400,6400,800
25/10/2019,6400,VTC,6400,6400,6400,0
24/10/2019,6400,VTC,6300,6500,6000,1400
23/10/2019,6300,VTC,6300,6300,6300,100
22/10/2019,6300,VTC,6000,6300,6000,300
21/10/2019,6300,VTC,6300,6300,6300,150
18/10/2019,6400,VTC,6400,6400,6400,0
17/10/2019,6400,VTC,6400,6400,6400,100
16/10/2019,6000,VTC,6400,6400,6000,800
15/10/2019,6400,VTC,6400,6400,6400,0
14/10/2019,6400,VTC,6300,6800,6300,800
11/10/2019,6300,VTC,6000,6400,6000,12600
10/10/2019,6200,VTC,6200,6500,6200,5726
9/10/2019,6600,VTC,6600,6600,6600,0
8/10/2019,6600,VTC,6600,6600,6600,0
7/10/2019,6600,VTC,6600,6600,6600,0
4/10/2019,6600,VTC,6600,6600,6600,0
3/10/2019,6600,VTC,6600,6600,6600,100
2/10/2019,6100,VTC,6100,6100,6100,0
1/10/2019,6100,VTC,6300,6300,6100,2000
30/09/2019,6700,VTC,6700,6700,6700,0
27/09/2019,6700,VTC,6700,6700,6700,500
26/09/2019,6700,VTC,6700,6700,6700,500
25/09/2019,6200,VTC,6300,6300,6200,1000
24/09/2019,6500,VTC,6500,6500,6500,0
23/09/2019,6500,VTC,6500,6500,6500,0
20/09/2019,6500,VTC,6500,6500,6500,2900
19/09/2019,6600,VTC,6600,6600,6600,0
18/09/2019,6600,VTC,6600,6600,6600,12
17/09/2019,6600,VTC,6600,6600,6600,15
16/09/2019,6600,VTC,6600,6600,6600,800
13/09/2019,7200,VTC,7200,7200,7200,0
12/9/2019,7200,VTC,7200,7200,7200,0
11/9/2019,7200,VTC,7200,7200,7200,0
10/9/2019,7200,VTC,7200,7200,7200,29
9/9/2019,7200,VTC,7200,7200,7200,0
6/9/2019,7200,VTC,7200,7200,7200,30
5/9/2019,7200,VTC,7200,7200,7200,200
4/9/2019,7200,VTC,7300,7300,7200,14300
3/9/2019,6700,VTC,6700,6700,6700,0
30/08/2019,6700,VTC,6700,6700,6700,51
29/08/2019,6700,VTC,7100,7100,6700,23100
28/08/2019,7400,VTC,7400,7400,7400,0
27/08/2019,7400,VTC,7400,7400,7400,0
26/08/2019,7400,VTC,7400,7400,7400,0
23/08/2019,7400,VTC,7400,7400,7400,567
22/08/2019,7000,VTC,7000,7000,6900,1300
21/08/2019,6800,VTC,6800,6800,6800,100
20/08/2019,6900,VTC,6900,6900,6900,0
19/08/2019,6900,VTC,6900,6900,6900,253
16/08/2019,6700,VTC,6700,6700,6700,150
15/08/2019,7100,VTC,7100,7100,7100,0
14/08/2019,7100,VTC,7100,7100,7100,0
13/08/2019,7100,VTC,7100,7100,7100,100
12/8/2019,6500,VTC,6500,6500,6500,0
9/8/2019,6500,VTC,6600,6600,6500,1000
8/8/2019,7000,VTC,7000,7000,7000,0
7/8/2019,7000,VTC,7000,7000,7000,90
6/8/2019,7000,VTC,7000,7000,7000,500
5/8/2019,7000,VTC,7000,7000,7000,0
2/8/2019,7000,VTC,7000,7000,7000,400
1/8/2019,7100,VTC,7100,7100,7100,60
31/07/2019,7100,VTC,7100,7100,7100,0
30/07/2019,7100,VTC,7100,7100,7100,311
29/07/2019,7100,VTC,7100,7100,7100,0
26/07/2019,7100,VTC,7100,7100,7100,400
25/07/2019,7000,VTC,7000,7000,7000,10
24/07/2019,7000,VTC,6800,7000,6800,1800
23/07/2019,7200,VTC,7000,7200,6600,1970
22/07/2019,7200,VTC,7200,7200,7200,0
19/07/2019,7200,VTC,7200,7200,7200,20
18/07/2019,7200,VTC,7200,7200,7200,100
17/07/2019,7000,VTC,7000,7000,7000,224
16/07/2019,7400,VTC,7400,7400,7400,10
15/07/2019,7400,VTC,7400,7400,7400,550
12/7/2019,7200,VTC,7200,7200,7200,0
11/7/2019,7200,VTC,7200,7200,7200,10
10/7/2019,7200,VTC,7200,7200,7200,0
9/7/2019,7200,VTC,7200,7200,7200,0
8/7/2019,7200,VTC,7200,7200,7200,0
